DATE,BOUT,FIGHTER,prob_norm,odds
2024-02-17,Henry Cejudo vs Merab Dvalishvili,Henry Cejudo,0.3017516941567574,217.5
2024-02-17,Henry Cejudo vs Merab Dvalishvili,Merab Dvalishvili,0.6982483058432425,-268.75
2024-02-17,Junior Tafa vs Marcos Rogerio de Lima,Junior Tafa,0.3125171939477303,206.25
2024-02-17,Junior Tafa vs Marcos Rogerio de Lima,Marcos Rogerio de Lima,0.6874828060522696,-255.0
2024-02-17,Oban Elliott vs Val Woodburn,Oban Elliott,0.7218071042648581,-303.3333333333333
2024-02-17,Oban Elliott vs Val Woodburn,Val Woodburn,0.278192895735142,245.0
2024-02-17,Paulo Costa vs Robert Whittaker,Paulo Costa,0.3247322629019039,194.5
2024-02-17,Paulo Costa vs Robert Whittaker,Robert Whittaker,0.6752677370980961,-240.25
2024-02-24,Brandon Moreno vs Brandon Royval,Brandon Moreno,0.7170525715609325,-297.0
2024-02-24,Brandon Moreno vs Brandon Royval,Brandon Royval,0.2829474284390674,238.75
2024-02-24,Brian Ortega vs Yair Rodriguez,Brian Ortega,0.432147851599989,121.25
2024-02-24,Brian Ortega vs Yair Rodriguez,Yair Rodriguez,0.567852148400011,-146.25
2024-02-24,Chris Duncan vs Manuel Torres,Chris Duncan,0.3741602469327938,156.0
2024-02-24,Chris Duncan vs Manuel Torres,Manuel Torres,0.6258397530672062,-188.5
2024-02-24,Claudio Puelles vs Fares Ziam,Claudio Puelles,0.3558470352384582,169.0
2024-02-24,Claudio Puelles vs Fares Ziam,Fares Ziam,0.6441529647615417,-205.75
2024-02-24,Cristian Quinonez vs Raoni Barcelos,Cristian Quinonez,0.3915852055107757,144.66666666666666
2024-02-24,Cristian Quinonez vs Raoni Barcelos,Raoni Barcelos,0.6084147944892242,-174.0
2024-02-24,Daniel Zellhuber vs Francisco Prado,Daniel Zellhuber,0.7045845413001819,-275.75
2024-02-24,Daniel Zellhuber vs Francisco Prado,Francisco Prado,0.2954154586998182,225.0
2024-02-24,Erik Silva vs Muhammad Naimov,Erik Silva,0.1917670682730924,400.0
2024-02-24,Erik Silva vs Muhammad Naimov,Muhammad Naimov,0.8082329317269077,-536.6666666666666
2024-02-24,Felipe dos Santos vs Victor Altamirano,Felipe dos Santos,0.7180131700063725,-298.25
2024-02-24,Felipe dos Santos vs Victor Altamirano,Victor Altamirano,0.2819868299936274,240.0
2024-02-24,Jesus Aguilar vs Mateus Mendonca,Jesus Aguilar,0.4661823951541839,105.75
2024-02-24,Jesus Aguilar vs Mateus Mendonca,Mateus Mendonca,0.5338176048458162,-125.5
2024-02-24,Sam Hughes vs Yazmin Jauregui,Sam Hughes,0.1774355540676263,440.0
2024-02-24,Sam Hughes vs Yazmin Jauregui,Yazmin Jauregui,0.8225644459323735,-606.6666666666666
2024-03-02,AJ Cunningham vs Ludovit Klein,AJ Cunningham,0.1300954032957502,636.6666666666666
2024-03-02,AJ Cunningham vs Ludovit Klein,Ludovit Klein,0.8699045967042498,-983.3333333333334
2024-03-02,Abdul-Kareem Al-Selwady vs Loik Radzhabov,Abdul-Kareem Al-Selwady,0.5944949619071024,-164.0
2024-03-02,Abdul-Kareem Al-Selwady vs Loik Radzhabov,Loik Radzhabov,0.4055050380928974,136.0
2024-03-02,Aiemann Zahabi vs Javid Basharat,Aiemann Zahabi,0.1474835864230709,548.75
2024-03-02,Aiemann Zahabi vs Javid Basharat,Javid Basharat,0.852516413576929,-817.5
2024-03-02,Alex Perez vs Muhammad Mokaev,Alex Perez,0.2476987447698744,287.5
2024-03-02,Alex Perez vs Muhammad Mokaev,Muhammad Mokaev,0.7523012552301255,-362.5
2024-03-02,Bekzat Almakhan vs Umar Nurmagomedov,Bekzat Almakhan,0.1134751773049645,743.75
2024-03-02,Bekzat Almakhan vs Umar Nurmagomedov,Umar Nurmagomedov,0.8865248226950354,-1250.0
2024-03-02,Benardo Sopaj vs Vinicius Oliveira,Benardo Sopaj,0.4549805289312547,111.0
2024-03-02,Benardo Sopaj vs Vinicius Oliveira,Vinicius Oliveira,0.5450194710687453,-131.33333333333334
