fighter1,fighter2,fighter1_prob,fighter2_prob,pick,pick_prob,event,prediction_date,stake
Robert Whittaker,Khamzat Chimaev,0.57000715,0.4299928545951843,Robert Whittaker,0.57000715,UFC_308_EXAMPLE,2025-10-21 13:50:41.807310,100
Magomed Ankalaev,Aleksandar Rakic,0.6689626,0.33103740215301514,Magomed Ankalaev,0.6689626,UFC_308_EXAMPLE,2025-10-21 13:50:41.807310,100
