fighter,age,height,weight,reach,elo,striking_elo,grapple_elo,last_fight_date,last_fight_result,last_fight_opponent,win_probability
Nassourdine Imavov,29.92,75.0,185.0,75.0,1627.22,1599.36,1536.23,2025-02-01,Win,Unknown,0.1867819733464661
Caio Borralho,31.6,73.0,185.0,75.0,1609.5155056182127,1545.1169372920424,1508.1184868738108,2024-08-24,Win,Unknown,0.8132180266535339
