event_url,fighter,book_0
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes,City,"Miami, Florida, United States"
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes,Venue,Kaseya Center
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes,Promotion,UFC
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes,City,"Miami, Florida, United States"
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes,Venue,Kaseya Center
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes,Promotion,UFC
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes/fights,City,"Miami, Florida, United States"
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes/fights,Venue,Kaseya Center
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes/fights,Promotion,UFC
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes/news,City,"Miami, Florida, United States"
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes/news,Venue,Kaseya Center
https://fightodds.io/mma-events/6133/ufc-314-volkanovski-vs-lopes/news,Promotion,UFC
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy,City,"Miami, Florida, United States"
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy,Venue,Kaseya Center
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy,Promotion,UFC
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy,City,"Miami, Florida, United States"
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy,Venue,Kaseya Center
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy,Promotion,UFC
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy/fights,City,"Miami, Florida, United States"
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy/fights,Venue,Kaseya Center
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy/fights,Promotion,UFC
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy/news,City,"Miami, Florida, United States"
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy/news,Venue,Kaseya Center
https://fightodds.io/mma-events/6117/ufc-fight-night-emmett-vs-murphy/news,Promotion,UFC
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg,Venue,UFC Apex
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg,Promotion,UFC
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg,Venue,UFC Apex
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg,Promotion,UFC
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg/fights,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg/fights,Venue,UFC Apex
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg/fights,Promotion,UFC
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg/news,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg/news,Venue,UFC Apex
https://fightodds.io/mma-events/6069/ufc-fight-night-moreno-vs-erceg/news,Promotion,UFC
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady,City,"London, England"
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady,Venue,O2 Arena
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady,Promotion,UFC
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady,City,"London, England"
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady,Venue,O2 Arena
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady,Promotion,UFC
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady/fights,City,"London, England"
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady/fights,Venue,O2 Arena
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady/fights,Promotion,UFC
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady/news,City,"London, England"
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady/news,Venue,O2 Arena
https://fightodds.io/mma-events/6064/ufc-fight-night-edwards-vs-brady/news,Promotion,UFC
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2,Venue,UFC Apex
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2,Promotion,UFC
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2,Venue,UFC Apex
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2,Promotion,UFC
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2/fights,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2/fights,Venue,UFC Apex
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2/fights,Promotion,UFC
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2/news,City,"Las Vegas, Nevada, United States"
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2/news,Venue,UFC Apex
https://fightodds.io/mma-events/6068/ufc-fight-night-vettori-vs-dolidze-2/news,Promotion,UFC
https://fightodds.io/mma-events/6110/efc-124,City,"Sandton, South Africa"
https://fightodds.io/mma-events/6110/efc-124,Venue,World Sports Betting Arena - EFC Performance Institute
https://fightodds.io/mma-events/6110/efc-124,Promotion,EFCA
https://fightodds.io/mma-events/6515/one-championship-one-friday-fights-111,City,"Bangkok, Thailand"
https://fightodds.io/mma-events/6515/one-championship-one-friday-fights-111,Venue,Lumpinee Boxing Stadium
https://fightodds.io/mma-events/6515/one-championship-one-friday-fights-111,Promotion,ONE
https://fightodds.io/mma-events/6450/bkfc-75-mundell-vs-sanchez,City,
https://fightodds.io/mma-events/6450/bkfc-75-mundell-vs-sanchez,Venue,
https://fightodds.io/mma-events/6450/bkfc-75-mundell-vs-sanchez,Promotion,BKFC
https://fightodds.io/mma-events/6428/bkb-41-brawl-in-duval-2,City,
https://fightodds.io/mma-events/6428/bkb-41-brawl-in-duval-2,Venue,
https://fightodds.io/mma-events/6428/bkb-41-brawl-in-duval-2,Promotion,BYB
https://fightodds.io/mma-events/6365/superior-challenge-28,City,"Stockholm, Sweden"
https://fightodds.io/mma-events/6365/superior-challenge-28,Venue,Annexet
https://fightodds.io/mma-events/6365/superior-challenge-28,Promotion,SC
https://fightodds.io/mma-events/6412/cage-warriors-189-michelis-vs-ucar,City,"Rome, Italy"
https://fightodds.io/mma-events/6412/cage-warriors-189-michelis-vs-ucar,Venue,PalaPellicone
https://fightodds.io/mma-events/6412/cage-warriors-189-michelis-vs-ucar,Promotion,CWFC
