id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers
9e84c2ee9dc668befa4fc90f85f7b5e0,mma_mixed_martial_arts,MMA,2023-06-16T23:55:28Z,Norbert Novenyi Jr.,Kamil Oniszczuk,"[{'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2023-06-16T23:55:13Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:13Z', 'outcomes': [{'name': 'Kamil Oniszczuk', 'price': 167}, {'name': 'Norbert Novenyi Jr.', 'price': -250}]}]}, {'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2023-06-16T23:49:40Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:49:39Z', 'outcomes': [{'name': 'Kamil Oniszczuk', 'price': 195}, {'name': 'Norbert Novenyi Jr.', 'price': -230}]}]}, {'key': 'unibet_us', 'title': 'Unibet', 'last_update': '2023-06-16T23:48:40Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:48:39Z', 'outcomes': [{'name': 'Kamil Oniszczuk', 'price': 155}, {'name': 'Norbert Novenyi Jr.', 'price': -225}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2023-06-16T23:48:37Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:48:37Z', 'outcomes': [{'name': 'Kamil Oniszczuk', 'price': 185}, {'name': 'Norbert Novenyi Jr.', 'price': -225}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2023-06-16T23:50:03Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:50:02Z', 'outcomes': [{'name': 'Kamil Oniszczuk', 'price': 180}, {'name': 'Norbert Novenyi Jr.', 'price': -230}]}]}]"
762b94d13196acc0d711046eeee2a8f3,mma_mixed_martial_arts,MMA,2023-06-17T00:10:28Z,Mike Hamel,Shamil Nikaev,"[{'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2023-06-16T23:55:08Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:06Z', 'outcomes': [{'name': 'Mike Hamel', 'price': -110}, {'name': 'Shamil Nikaev', 'price': -110}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2023-06-16T23:53:56Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:53:56Z', 'outcomes': [{'name': 'Mike Hamel', 'price': 110}, {'name': 'Shamil Nikaev', 'price': -135}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2023-06-16T23:55:30Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:29Z', 'outcomes': [{'name': 'Mike Hamel', 'price': 100}, {'name': 'Shamil Nikaev', 'price': -130}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2023-06-16T23:55:13Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:13Z', 'outcomes': [{'name': 'Mike Hamel', 'price': -103}, {'name': 'Shamil Nikaev', 'price': -140}]}]}, {'key': 'unibet_us', 'title': 'Unibet', 'last_update': '2023-06-16T23:55:16Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:15Z', 'outcomes': [{'name': 'Mike Hamel', 'price': 110}, {'name': 'Shamil Nikaev', 'price': -152}]}]}]"
bde2c401fcc1ba035d2c7d28b5597e0d,mma_mixed_martial_arts,MMA,2023-06-17T00:30:28Z,Pieter Buist,Gadzhi Rabadanov,"[{'key': 'unibet_us', 'title': 'Unibet', 'last_update': '2023-06-16T23:55:16Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:16Z', 'outcomes': [{'name': 'Gadzhi Rabadanov', 'price': -1115}, {'name': 'Pieter Buist', 'price': 575}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2023-06-16T23:55:30Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:29Z', 'outcomes': [{'name': 'Gadzhi Rabadanov', 'price': -1000}, {'name': 'Pieter Buist', 'price': 600}]}]}, {'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2023-06-16T23:55:08Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:06Z', 'outcomes': [{'name': 'Gadzhi Rabadanov', 'price': -1493}, {'name': 'Pieter Buist', 'price': 850}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2023-06-16T23:53:56Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:53:56Z', 'outcomes': [{'name': 'Gadzhi Rabadanov', 'price': -1100}, {'name': 'Pieter Buist', 'price': 700}]}]}]"
5fa4c8bd922372b33b1730690dd22e54,mma_mixed_martial_arts,MMA,2023-06-17T00:45:28Z,Kyle Crutchmer,Bobby Nash,"[{'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2023-06-16T23:55:08Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:06Z', 'outcomes': [{'name': 'Bobby Nash', 'price': 235}, {'name': 'Kyle Crutchmer', 'price': -275}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2023-06-16T23:53:56Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:53:56Z', 'outcomes': [{'name': 'Bobby Nash', 'price': 200}, {'name': 'Kyle Crutchmer', 'price': -250}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2023-06-16T23:55:30Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:29Z', 'outcomes': [{'name': 'Bobby Nash', 'price': 210}, {'name': 'Kyle Crutchmer', 'price': -270}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2023-06-16T23:55:13Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:13Z', 'outcomes': [{'name': 'Bobby Nash', 'price': 197}, {'name': 'Kyle Crutchmer', 'price': -303}]}]}, {'key': 'unibet_us', 'title': 'Unibet', 'last_update': '2023-06-16T23:55:16Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:16Z', 'outcomes': [{'name': 'Bobby Nash', 'price': 170}, {'name': 'Kyle Crutchmer', 'price': -245}]}]}]"
5eef9f47d65ab6ad4f04b07837ce7d0e,mma_mixed_martial_arts,MMA,2023-06-17T01:00:28Z,Wladmir Gouvea,Gabriel Sayeg,"[{'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2023-06-16T23:55:08Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:06Z', 'outcomes': [{'name': 'Gabriel Sayeg', 'price': 475}, {'name': 'Wladmir Gouvea', 'price': -649}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2023-06-16T23:55:30Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:29Z', 'outcomes': [{'name': 'Gabriel Sayeg', 'price': 350}, {'name': 'Wladmir Gouvea', 'price': -500}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2023-06-16T23:55:13Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:13Z', 'outcomes': [{'name': 'Gabriel Sayeg', 'price': 323}, {'name': 'Wladmir Gouvea', 'price': -588}]}]}, {'key': 'unibet_us', 'title': 'Unibet', 'last_update': '2023-06-16T23:55:16Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:16Z', 'outcomes': [{'name': 'Gabriel Sayeg', 'price': 335}, {'name': 'Wladmir Gouvea', 'price': -530}]}]}]"
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,"[{'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2023-06-16T23:55:13Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:13Z', 'outcomes': [{'name': 'Daniel James', 'price': -109}, {'name': 'Gokhan Saricam', 'price': -129}]}]}, {'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2023-06-16T23:55:08Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:06Z', 'outcomes': [{'name': 'Daniel James', 'price': -110}, {'name': 'Gokhan Saricam', 'price': -110}]}]}, {'key': 'unibet_us', 'title': 'Unibet', 'last_update': '2023-06-16T23:55:16Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:16Z', 'outcomes': [{'name': 'Daniel James', 'price': -105}, {'name': 'Gokhan Saricam', 'price': -127}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2023-06-16T23:55:30Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:29Z', 'outcomes': [{'name': 'Daniel James', 'price': -110}, {'name': 'Gokhan Saricam', 'price': -120}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2023-06-16T23:53:56Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:53:56Z', 'outcomes': [{'name': 'Daniel James', 'price': -110}, {'name': 'Gokhan Saricam', 'price': -110}]}]}]"
72acbbe01c651bbd26add35f9d955f21,mma_mixed_martial_arts,MMA,2023-06-17T01:45:28Z,Corey Anderson,Phil Davis,"[{'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2023-06-16T23:55:13Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:13Z', 'outcomes': [{'name': 'Corey Anderson', 'price': -200}, {'name': 'Phil Davis', 'price': 136}]}]}, {'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2023-06-16T23:55:08Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:06Z', 'outcomes': [{'name': 'Corey Anderson', 'price': -175}, {'name': 'Phil Davis', 'price': 150}]}]}, {'key': 'unibet_us', 'title': 'Unibet', 'last_update': '2023-06-16T23:55:16Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:16Z', 'outcomes': [{'name': 'Corey Anderson', 'price': -190}, {'name': 'Phil Davis', 'price': 138}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2023-06-16T23:55:30Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:29Z', 'outcomes': [{'name': 'Corey Anderson', 'price': -175}, {'name': 'Phil Davis', 'price': 145}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2023-06-16T23:53:56Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:53:56Z', 'outcomes': [{'name': 'Corey Anderson', 'price': -175}, {'name': 'Phil Davis', 'price': 145}]}]}]"
3b48b4c2467fd42821c2f48988aaeda3,mma_mixed_martial_arts,MMA,2023-06-17T02:00:00Z,Vadim Nemkov,Yoel Romero,"[{'key': 'betus', 'title': 'BetUS', 'last_update': '2023-06-16T23:55:30Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:29Z', 'outcomes': [{'name': 'Vadim Nemkov', 'price': -550}, {'name': 'Yoel Romero', 'price': 375}]}]}, {'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2023-06-16T23:55:08Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:06Z', 'outcomes': [{'name': 'Vadim Nemkov', 'price': -549}, {'name': 'Yoel Romero', 'price': 400}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2023-06-16T23:55:13Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:13Z', 'outcomes': [{'name': 'Vadim Nemkov', 'price': -666}, {'name': 'Yoel Romero', 'price': 361}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2023-06-16T23:53:56Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:53:56Z', 'outcomes': [{'name': 'Vadim Nemkov', 'price': -500}, {'name': 'Yoel Romero', 'price': 360}]}]}, {'key': 'unibet_us', 'title': 'Unibet', 'last_update': '2023-06-16T23:55:16Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:16Z', 'outcomes': [{'name': 'Vadim Nemkov', 'price': -625}, {'name': 'Yoel Romero', 'price': 375}]}]}]"
afde96590e242064c3b6051af1583505,mma_mixed_martial_arts,MMA,2023-06-17T02:15:28Z,Sergio Pettis,Patricio Pitbull,"[{'key': 'unibet_us', 'title': 'Unibet', 'last_update': '2023-06-16T23:55:16Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:16Z', 'outcomes': [{'name': 'Patricio Pitbull', 'price': -165}, {'name': 'Sergio Pettis', 'price': 123}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2023-06-16T23:53:56Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:53:56Z', 'outcomes': [{'name': 'Patricio Pitbull', 'price': -165}, {'name': 'Sergio Pettis', 'price': 135}]}]}]"
e0742e56884f7169d3bd4415bfd0500b,mma_mixed_martial_arts,MMA,2023-06-17T03:15:28Z,Karl Moore,Alex Polizzi,"[{'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2023-06-16T23:43:07Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:43:07Z', 'outcomes': [{'name': 'Alex Polizzi', 'price': -153}, {'name': 'Karl Moore', 'price': 106}]}]}, {'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2023-06-16T23:55:08Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:06Z', 'outcomes': [{'name': 'Alex Polizzi', 'price': -144}, {'name': 'Karl Moore', 'price': 124}]}]}, {'key': 'unibet_us', 'title': 'Unibet', 'last_update': '2023-06-16T23:55:16Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:16Z', 'outcomes': [{'name': 'Alex Polizzi', 'price': -148}, {'name': 'Karl Moore', 'price': 106}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2023-06-16T23:53:56Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:53:56Z', 'outcomes': [{'name': 'Alex Polizzi', 'price': -135}, {'name': 'Karl Moore', 'price': 110}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2023-06-16T23:55:30Z', 'markets': [{'key': 'h2h', 'last_update': '2023-06-16T23:55:29Z', 'outcomes': [{'name': 'Alex Polizzi', 'price': -140}, {'name': 'Karl Moore', 'price': 110}]}]}]"
