fight_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_updated,market_key,market_updated,outcome_name,odds
762b94d13196acc0d711046eeee2a8f3,mma_mixed_martial_arts,MMA,2023-06-17T00:10:28Z,Mike Hamel,Shamil Nikaev,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:15Z,Shamil Nikaev,-152
bde2c401fcc1ba035d2c7d28b5597e0d,mma_mixed_martial_arts,MMA,2023-06-17T00:30:28Z,Pieter Buist,Gadzhi Rabadanov,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:16Z,Gadzhi Rabadanov,-1115
bde2c401fcc1ba035d2c7d28b5597e0d,mma_mixed_martial_arts,MMA,2023-06-17T00:30:28Z,Pieter Buist,Gadzhi Rabadanov,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:16Z,Pieter Buist,575
bde2c401fcc1ba035d2c7d28b5597e0d,mma_mixed_martial_arts,MMA,2023-06-17T00:30:28Z,Pieter Buist,Gadzhi Rabadanov,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Gadzhi Rabadanov,-1000
bde2c401fcc1ba035d2c7d28b5597e0d,mma_mixed_martial_arts,MMA,2023-06-17T00:30:28Z,Pieter Buist,Gadzhi Rabadanov,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Pieter Buist,600
bde2c401fcc1ba035d2c7d28b5597e0d,mma_mixed_martial_arts,MMA,2023-06-17T00:30:28Z,Pieter Buist,Gadzhi Rabadanov,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Gadzhi Rabadanov,-1493
bde2c401fcc1ba035d2c7d28b5597e0d,mma_mixed_martial_arts,MMA,2023-06-17T00:30:28Z,Pieter Buist,Gadzhi Rabadanov,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Pieter Buist,850
bde2c401fcc1ba035d2c7d28b5597e0d,mma_mixed_martial_arts,MMA,2023-06-17T00:30:28Z,Pieter Buist,Gadzhi Rabadanov,betmgm,BetMGM,2023-06-16T23:53:56Z,h2h,2023-06-16T23:53:56Z,Gadzhi Rabadanov,-1100
bde2c401fcc1ba035d2c7d28b5597e0d,mma_mixed_martial_arts,MMA,2023-06-17T00:30:28Z,Pieter Buist,Gadzhi Rabadanov,betmgm,BetMGM,2023-06-16T23:53:56Z,h2h,2023-06-16T23:53:56Z,Pieter Buist,700
5fa4c8bd922372b33b1730690dd22e54,mma_mixed_martial_arts,MMA,2023-06-17T00:45:28Z,Kyle Crutchmer,Bobby Nash,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Bobby Nash,235
5fa4c8bd922372b33b1730690dd22e54,mma_mixed_martial_arts,MMA,2023-06-17T00:45:28Z,Kyle Crutchmer,Bobby Nash,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Kyle Crutchmer,-275
5fa4c8bd922372b33b1730690dd22e54,mma_mixed_martial_arts,MMA,2023-06-17T00:45:28Z,Kyle Crutchmer,Bobby Nash,betmgm,BetMGM,2023-06-16T23:53:56Z,h2h,2023-06-16T23:53:56Z,Bobby Nash,200
5fa4c8bd922372b33b1730690dd22e54,mma_mixed_martial_arts,MMA,2023-06-17T00:45:28Z,Kyle Crutchmer,Bobby Nash,betmgm,BetMGM,2023-06-16T23:53:56Z,h2h,2023-06-16T23:53:56Z,Kyle Crutchmer,-250
5fa4c8bd922372b33b1730690dd22e54,mma_mixed_martial_arts,MMA,2023-06-17T00:45:28Z,Kyle Crutchmer,Bobby Nash,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Bobby Nash,210
5fa4c8bd922372b33b1730690dd22e54,mma_mixed_martial_arts,MMA,2023-06-17T00:45:28Z,Kyle Crutchmer,Bobby Nash,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Kyle Crutchmer,-270
5fa4c8bd922372b33b1730690dd22e54,mma_mixed_martial_arts,MMA,2023-06-17T00:45:28Z,Kyle Crutchmer,Bobby Nash,mybookieag,MyBookie.ag,2023-06-16T23:55:13Z,h2h,2023-06-16T23:55:13Z,Bobby Nash,197
5fa4c8bd922372b33b1730690dd22e54,mma_mixed_martial_arts,MMA,2023-06-17T00:45:28Z,Kyle Crutchmer,Bobby Nash,mybookieag,MyBookie.ag,2023-06-16T23:55:13Z,h2h,2023-06-16T23:55:13Z,Kyle Crutchmer,-303
5fa4c8bd922372b33b1730690dd22e54,mma_mixed_martial_arts,MMA,2023-06-17T00:45:28Z,Kyle Crutchmer,Bobby Nash,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:16Z,Bobby Nash,170
5fa4c8bd922372b33b1730690dd22e54,mma_mixed_martial_arts,MMA,2023-06-17T00:45:28Z,Kyle Crutchmer,Bobby Nash,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:16Z,Kyle Crutchmer,-245
5eef9f47d65ab6ad4f04b07837ce7d0e,mma_mixed_martial_arts,MMA,2023-06-17T01:00:28Z,Wladmir Gouvea,Gabriel Sayeg,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Gabriel Sayeg,475
5eef9f47d65ab6ad4f04b07837ce7d0e,mma_mixed_martial_arts,MMA,2023-06-17T01:00:28Z,Wladmir Gouvea,Gabriel Sayeg,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Wladmir Gouvea,-649
5eef9f47d65ab6ad4f04b07837ce7d0e,mma_mixed_martial_arts,MMA,2023-06-17T01:00:28Z,Wladmir Gouvea,Gabriel Sayeg,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Gabriel Sayeg,350
5eef9f47d65ab6ad4f04b07837ce7d0e,mma_mixed_martial_arts,MMA,2023-06-17T01:00:28Z,Wladmir Gouvea,Gabriel Sayeg,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Wladmir Gouvea,-500
5eef9f47d65ab6ad4f04b07837ce7d0e,mma_mixed_martial_arts,MMA,2023-06-17T01:00:28Z,Wladmir Gouvea,Gabriel Sayeg,mybookieag,MyBookie.ag,2023-06-16T23:55:13Z,h2h,2023-06-16T23:55:13Z,Gabriel Sayeg,323
5eef9f47d65ab6ad4f04b07837ce7d0e,mma_mixed_martial_arts,MMA,2023-06-17T01:00:28Z,Wladmir Gouvea,Gabriel Sayeg,mybookieag,MyBookie.ag,2023-06-16T23:55:13Z,h2h,2023-06-16T23:55:13Z,Wladmir Gouvea,-588
5eef9f47d65ab6ad4f04b07837ce7d0e,mma_mixed_martial_arts,MMA,2023-06-17T01:00:28Z,Wladmir Gouvea,Gabriel Sayeg,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:16Z,Gabriel Sayeg,335
5eef9f47d65ab6ad4f04b07837ce7d0e,mma_mixed_martial_arts,MMA,2023-06-17T01:00:28Z,Wladmir Gouvea,Gabriel Sayeg,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:16Z,Wladmir Gouvea,-530
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,mybookieag,MyBookie.ag,2023-06-16T23:55:13Z,h2h,2023-06-16T23:55:13Z,Daniel James,-109
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,mybookieag,MyBookie.ag,2023-06-16T23:55:13Z,h2h,2023-06-16T23:55:13Z,Gokhan Saricam,-129
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Daniel James,-110
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Gokhan Saricam,-110
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:16Z,Daniel James,-105
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:16Z,Gokhan Saricam,-127
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Daniel James,-110
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Gokhan Saricam,-120
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,betmgm,BetMGM,2023-06-16T23:53:56Z,h2h,2023-06-16T23:53:56Z,Daniel James,-110
022c916424c985cc13e87d97ab6097d9,mma_mixed_martial_arts,MMA,2023-06-17T01:15:28Z,Daniel James,Gokhan Saricam,betmgm,BetMGM,2023-06-16T23:53:56Z,h2h,2023-06-16T23:53:56Z,Gokhan Saricam,-110
72acbbe01c651bbd26add35f9d955f21,mma_mixed_martial_arts,MMA,2023-06-17T01:45:28Z,Corey Anderson,Phil Davis,mybookieag,MyBookie.ag,2023-06-16T23:55:13Z,h2h,2023-06-16T23:55:13Z,Corey Anderson,-200
72acbbe01c651bbd26add35f9d955f21,mma_mixed_martial_arts,MMA,2023-06-17T01:45:28Z,Corey Anderson,Phil Davis,mybookieag,MyBookie.ag,2023-06-16T23:55:13Z,h2h,2023-06-16T23:55:13Z,Phil Davis,136
72acbbe01c651bbd26add35f9d955f21,mma_mixed_martial_arts,MMA,2023-06-17T01:45:28Z,Corey Anderson,Phil Davis,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Corey Anderson,-175
72acbbe01c651bbd26add35f9d955f21,mma_mixed_martial_arts,MMA,2023-06-17T01:45:28Z,Corey Anderson,Phil Davis,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Phil Davis,150
72acbbe01c651bbd26add35f9d955f21,mma_mixed_martial_arts,MMA,2023-06-17T01:45:28Z,Corey Anderson,Phil Davis,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:16Z,Corey Anderson,-190
72acbbe01c651bbd26add35f9d955f21,mma_mixed_martial_arts,MMA,2023-06-17T01:45:28Z,Corey Anderson,Phil Davis,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:16Z,Phil Davis,138
72acbbe01c651bbd26add35f9d955f21,mma_mixed_martial_arts,MMA,2023-06-17T01:45:28Z,Corey Anderson,Phil Davis,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Corey Anderson,-175
72acbbe01c651bbd26add35f9d955f21,mma_mixed_martial_arts,MMA,2023-06-17T01:45:28Z,Corey Anderson,Phil Davis,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Phil Davis,145
72acbbe01c651bbd26add35f9d955f21,mma_mixed_martial_arts,MMA,2023-06-17T01:45:28Z,Corey Anderson,Phil Davis,betmgm,BetMGM,2023-06-16T23:53:56Z,h2h,2023-06-16T23:53:56Z,Corey Anderson,-175
72acbbe01c651bbd26add35f9d955f21,mma_mixed_martial_arts,MMA,2023-06-17T01:45:28Z,Corey Anderson,Phil Davis,betmgm,BetMGM,2023-06-16T23:53:56Z,h2h,2023-06-16T23:53:56Z,Phil Davis,145
3b48b4c2467fd42821c2f48988aaeda3,mma_mixed_martial_arts,MMA,2023-06-17T02:00:00Z,Vadim Nemkov,Yoel Romero,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Vadim Nemkov,-550
3b48b4c2467fd42821c2f48988aaeda3,mma_mixed_martial_arts,MMA,2023-06-17T02:00:00Z,Vadim Nemkov,Yoel Romero,betus,BetUS,2023-06-16T23:55:30Z,h2h,2023-06-16T23:55:29Z,Yoel Romero,375
3b48b4c2467fd42821c2f48988aaeda3,mma_mixed_martial_arts,MMA,2023-06-17T02:00:00Z,Vadim Nemkov,Yoel Romero,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Vadim Nemkov,-549
3b48b4c2467fd42821c2f48988aaeda3,mma_mixed_martial_arts,MMA,2023-06-17T02:00:00Z,Vadim Nemkov,Yoel Romero,lowvig,LowVig.ag,2023-06-16T23:55:08Z,h2h,2023-06-16T23:55:06Z,Yoel Romero,400
3b48b4c2467fd42821c2f48988aaeda3,mma_mixed_martial_arts,MMA,2023-06-17T02:00:00Z,Vadim Nemkov,Yoel Romero,mybookieag,MyBookie.ag,2023-06-16T23:55:13Z,h2h,2023-06-16T23:55:13Z,Vadim Nemkov,-666
3b48b4c2467fd42821c2f48988aaeda3,mma_mixed_martial_arts,MMA,2023-06-17T02:00:00Z,Vadim Nemkov,Yoel Romero,mybookieag,MyBookie.ag,2023-06-16T23:55:13Z,h2h,2023-06-16T23:55:13Z,Yoel Romero,361
3b48b4c2467fd42821c2f48988aaeda3,mma_mixed_martial_arts,MMA,2023-06-17T02:00:00Z,Vadim Nemkov,Yoel Romero,betmgm,BetMGM,2023-06-16T23:53:56Z,h2h,2023-06-16T23:53:56Z,Vadim Nemkov,-500
3b48b4c2467fd42821c2f48988aaeda3,mma_mixed_martial_arts,MMA,2023-06-17T02:00:00Z,Vadim Nemkov,Yoel Romero,betmgm,BetMGM,2023-06-16T23:53:56Z,h2h,2023-06-16T23:53:56Z,Yoel Romero,360
3b48b4c2467fd42821c2f48988aaeda3,mma_mixed_martial_arts,MMA,2023-06-17T02:00:00Z,Vadim Nemkov,Yoel Romero,unibet_us,Unibet,2023-06-16T23:55:16Z,h2h,2023-06-16T23:55:16Z,Vadim Nemkov,-625
