date,home_team,away_team,outcome,betmgm,betonlineag,betrivers,betus,bovada,draftkings,fanduel,williamhill_us
2025-03-01,Ricardo Ramos,Chepe Mariscal,Ricardo Ramos,350.0,,330.0,,,,,
2025-03-22,Jan Blachowicz,Carlos Ulberg,Carlos Ulberg,-300.0,-282.0,-295.0,-300.0,-290.0,-290.0,-290.0,-290.0
2025-03-22,Jan Blachowicz,Carlos Ulberg,Jan Blachowicz,240.0,242.0,225.0,246.0,240.0,235.0,235.0,235.0
2025-03-22,Leon Edwards,Sean Brady,Leon Edwards,135.0,134.0,128.0,130.0,127.0,130.0,132.0,135.0
2025-03-22,Leon Edwards,Sean Brady,Sean Brady,-160.0,-154.0,-159.0,-155.0,-147.0,-155.0,-156.0,-160.0
2025-03-22,Nathan Fletcher,Caolan Loughran,Caolan Loughran,115.0,119.0,106.0,118.0,100.0,114.0,108.0,118.0
2025-03-22,Nathan Fletcher,Caolan Loughran,Nathan Fletcher,-140.0,-139.0,-130.0,-139.0,-120.0,-135.0,-130.0,-140.0
2025-03-29,Jamall Emmers,Gabriel Miranda,Gabriel Miranda,375.0,375.0,370.0,363.0,355.0,370.0,350.0,380.0
2025-03-29,Jamall Emmers,Gabriel Miranda,Jamall Emmers,-500.0,-500.0,-500.0,-490.0,-490.0,-485.0,-450.0,-500.0
2025-03-29,Rafa Garcia,Vinc Pichel,Rafa Garcia,-450.0,-400.0,-500.0,-400.0,-510.0,-425.0,-420.0,-480.0
2025-03-29,Rafa Garcia,Vinc Pichel,Vinc Pichel,340.0,300.0,370.0,309.0,370.0,330.0,330.0,360.0
2025-03-29,Ronaldo Rodriguez,Kevin Borjas,Kevin Borjas,130.0,143.0,125.0,138.0,122.0,130.0,130.0,125.0
2025-03-29,Ronaldo Rodriguez,Kevin Borjas,Ronaldo Rodriguez,-155.0,-163.0,-157.0,-165.0,-142.0,-155.0,-154.0,-150.0
