event_date,event,fighter,opponent,short_notice,short_notice_duration_days,injury_risk,camp_status,evidence_urls
2025-09-27,UFC Fight Night Perth,Dominick Reyes,Carlos Ulberg,0,,0,5,
2025-09-27,UFC Fight Night Perth,Carlos Ulberg,Dominick Reyes,0,,0,5,
