W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,event,event_url,scrape_date
win,Yan Xiaonan  Tabatha Ricci,0  0,78  15,0  1,0  0,Women's Strawweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,Muslim Salikhov  Song Kenan,1  0,20  9,0  0,0  0,Welterweight,KO/TKO  Kick,1,3:49,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,Gabriella Fernandes  Wang Cong,1  0,18  46,0  0,1  0,Women's Flyweight,SUB  Rear Naked Choke,2,3:49,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,Carlos Ulberg  Volkan Oezdemir,0  0,98  96,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,Zhang Mingyang  Ozzy Diaz,1  0,17  9,0  0,0  0,Light Heavyweight,KO/TKO  Elbow,1,2:25,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,SuYoung You  Baergeng Jieleyisi,0  0,42  9,2  1,0  0,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,DongHun Choi  Kiru Sahota,1  0,12  2,0  0,0  0,Flyweight,KO/TKO  Punch,1,2:36,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,Shi Ming  Feng Xiaocan,1  0,30  48,1  0,0  0,Women's Strawweight,KO/TKO  Kick,3,0:46,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,Carlos Hernandez  Nyamjargal Tumendemberel,0  1,44  26,4  0,0  1,Flyweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,Lone'er Kavanagh  Jose Ochoa,0  0,51  50,0  0,0  1,Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,Xiao Long  Quang Le,1  0,87  64,0  1,0  0,Bantamweight,KO/TKO  Punch,3,1:28,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,Nikolas Motta  Maheshate,2  0,78  56,0  0,0  0,Lightweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/e955046551f8c7dd,2025-06-15 11:53:42.712243
win,Jon Jones  Stipe Miocic,1  0,96  37,1  0,0  0,Heavyweight,KO/TKO  Spinning Back Kick,3,4:29,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,Charles Oliveira  Michael Chandler,0  0,88  84,5  0,2  0,Lightweight,U-DEC,5,5:00,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,Bo Nickal  Paul Craig,0  0,54  47,0  0,0  0,Middleweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,Viviane Araujo  Karine Silva,0  0,48  58,3  1,1  1,Women's Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,Mauricio Ruffy  James Llontop,1  0,67  90,0  0,0  0,Catch Weight,U-DEC,3,5:00,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,Marcus McGhee  Jonathan Martinez,0  0,102  48,0  0,0  0,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,Jim Miller  Damon Jackson,0  0,10  16,0  0,1  0,Lightweight,SUB  Guillotine Choke,1,2:44,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,David Onama  Roberto Romero,1  1,121  74,1  0,1  0,Lightweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,Marcin Tybura  Jhonata Diniz,0  0,35  15,1  0,0  0,Heavyweight,KO/TKO,2,5:00,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,Ramiz Brahimaj  Mickey Gall,1  0,31  28,0  0,0  0,Welterweight,KO/TKO  Punch,1,2:55,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,Oban Elliott  Bassil Hafez,1  0,65  24,0  0,0  0,Welterweight,KO/TKO  Punch,3,0:40,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,Eduarda Moura  Veronica Hardy,0  0,26  46,3  0,0  0,Women's Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/daff32bc96d1eabf,2025-06-15 11:53:43.145585
win,Carlos Prates  Neil Magny,2  0,12  10,1  0,0  0,Welterweight,KO/TKO  Punch,1,4:50,,http://ufcstats.com/event-details/585f9ffdb0cd0466,2025-06-15 11:53:43.830659
win,Reinier de Ridder  Gerald Meerschaert,1  0,38  30,5  0,1  0,Middleweight,SUB  Arm Triangle,3,1:44,,http://ufcstats.com/event-details/585f9ffdb0cd0466,2025-06-15 11:53:43.830659
win,Gaston Bolanos  Cortavious Romious,0  0,53  17,2  4,0  0,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/585f9ffdb0cd0466,2025-06-15 11:53:43.830659
win,Gillian Robertson  Luana Pinheiro,0  0,52  42,5  0,0  0,Women's Strawweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/585f9ffdb0cd0466,2025-06-15 11:53:43.830659
win,Mansur Abdul-Malik  Dusko Todorovic,1  0,29  3,0  0,0  0,Middleweight,KO/TKO  Punches,1,2:44,,http://ufcstats.com/event-details/585f9ffdb0cd0466,2025-06-15 11:53:43.830659
win,Denise Gomes  Karolina Kowalkiewicz,0  0,73  46,0  0,1  0,Women's Strawweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/585f9ffdb0cd0466,2025-06-15 11:53:43.830659
win,Elizeu Zaleski dos Santos  Zachary Scroggin,0  0,11  3,0  0,0  0,Welterweight,KO/TKO  Punches,1,1:15,,http://ufcstats.com/event-details/585f9ffdb0cd0466,2025-06-15 11:53:43.830659
win,Charles Radtke  Matthew Semelsberger,0  0,7  2,0  0,0  0,Welterweight,KO/TKO  Punches,1,0:51,,http://ufcstats.com/event-details/585f9ffdb0cd0466,2025-06-15 11:53:43.830659
win,Da'Mon Blackshear  Cody Stamann,0  0,20  13,0  0,3  0,Bantamweight,SUB  Rear Naked Choke,1,4:19,,http://ufcstats.com/event-details/585f9ffdb0cd0466,2025-06-15 11:53:43.830659
win,Tresean Gore  Antonio Trocoli,0  0,3  2,1  0,1  0,Middleweight,SUB  Guillotine Choke,1,1:23,,http://ufcstats.com/event-details/585f9ffdb0cd0466,2025-06-15 11:53:43.830659
win,Melissa Mullins  Klaudia Sygula,0  0,38  12,2  0,0  0,Women's Bantamweight,KO/TKO  Punches,2,1:20,,http://ufcstats.com/event-details/585f9ffdb0cd0466,2025-06-15 11:53:43.830659
win,Brandon Moreno  Amir Albazi,0  0,132  63,0  1,0  0,Flyweight,U-DEC,5,5:00,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Erin Blanchfield  Rose Namajunas,0  0,110  94,2  1,0  0,Women's Flyweight,U-DEC,5,5:00,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Brendson Ribeiro  Caio Machado,0  0,49  76,0  0,0  0,Light Heavyweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Jasmine Jasudavicius  Ariane da Silva,0  0,36  42,3  0,1  0,Women's Flyweight,SUB  D'Arce Choke,3,2:28,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Dustin Stoltzfus  Marc-Andre Barriault,1  0,13  7,0  0,1  0,Middleweight,KO/TKO  Punch,1,4:28,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Mike Malott  Trevin Giles,0  0,59  34,0  0,0  0,Welterweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Aiemann Zahabi  Pedro Munhoz,0  0,109  95,0  0,0  0,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Charles Jourdain  Victor Henry,0  0,39  24,0  4,1  0,Bantamweight,SUB  Guillotine Choke,2,3:43,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Youssef Zalal  Jack Shore,1  0,13  8,1  2,1  0,Featherweight,SUB  Arm Triangle,2,0:59,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Alexandr Romanov  Rodrigo Nascimento,0  0,45  31,6  0,1  0,Heavyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Serhiy Sidey  Garrett Armfield,0  0,68  71,0  4,3  1,Bantamweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Cody Gibson  Chad Anheliger,0  0,16  11,5  0,2  0,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Jamey-Lyn Horth  Ivana Petrovic,0  0,29  25,2  2,0  0,Women's Flyweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2,2025-06-15 11:53:44.286140
win,Ilia Topuria  Max Holloway,1  0,75  79,2  0,0  0,Featherweight,KO/TKO  Punch,3,1:34,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Khamzat Chimaev  Robert Whittaker,0  0,3  2,2  0,1  0,Middleweight,SUB  Rear Naked Choke,1,3:34,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Magomed Ankalaev  Aleksandar Rakic,0  0,55  53,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Lerone Murphy  Dan Ige,0  1,52  46,3  1,0  0,Featherweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Shara Magomedov  Armen Petrosyan,1  0,65  77,0  0,0  0,Middleweight,KO/TKO  Spinning Back Fist,2,4:52,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Ibo Aslan  Rafael Cerqueira,0  0,28  1,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,0:51,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Geoff Neal  Rafael Dos Anjos,1  0,18  4,1  0,0  0,Welterweight,KO/TKO,1,1:30,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Mateusz Rebecki  Myktybek Orolbai,1  0,71  61,3  2,0  0,Catch Weight,S-DEC,3,5:00,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Abus Magomedov  Brunno Ferreira,0  0,26  29,4  0,1  1,Middleweight,SUB  Arm Triangle,3,3:14,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Kennedy Nzechukwu  Chris Barnett,0  0,51  12,0  0,0  0,Heavyweight,KO/TKO  Knee,1,4:27,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Farid Basharat  Victor Hugo,0  0,60  45,4  1,0  1,Featherweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Ismail Naurdiev  Bruno Silva,0  0,66  36,3  0,0  0,Middleweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Rinat Fakhretdinov  Carlos Leal,0  0,109  107,2  1,0  0,Welterweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/221b2a3070c7ce3e,2025-06-15 11:53:44.733738
win,Anthony Hernandez  Michel Pereira,0  0,152  24,10  0,0  1,Middleweight,KO/TKO  Elbows,5,2:22,,http://ufcstats.com/event-details/6a0047ac8c99fece,2025-06-15 11:53:45.228406
win,Rob Font  Kyler Phillips,0  0,61  38,0  4,0  0,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/6a0047ac8c99fece,2025-06-15 11:53:45.228406
win,Charles Johnson  Sumudaerji,1  0,65  75,2  0,0  2,Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/6a0047ac8c99fece,2025-06-15 11:53:45.228406
win,Cameron Smotherman  Jake Hadley,0  0,96  60,0  1,0  0,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/6a0047ac8c99fece,2025-06-15 11:53:45.228406
win,Darren Elkins  Daniel Pineda,0  0,39  31,3  0,0  2,Featherweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/6a0047ac8c99fece,2025-06-15 11:53:45.228406
win,Asu Almabayev  Matheus Nicolau,1  0,22  16,1  0,0  1,Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/6a0047ac8c99fece,2025-06-15 11:53:45.228406
win,Jean Matsumoto  Brad Katona,0  0,89  89,1  3,0  0,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/6a0047ac8c99fece,2025-06-15 11:53:45.228406
win,Joselyne Edwards  Tamires Vidal,0  0,81  34,4  0,2  0,Women's Bantamweight,SUB  Rear Naked Choke,3,4:33,,http://ufcstats.com/event-details/6a0047ac8c99fece,2025-06-15 11:53:45.228406
win,Elise Reed  Jessica Penne,0  0,117  54,0  1,0  0,Women's Strawweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/6a0047ac8c99fece,2025-06-15 11:53:45.228406
win,Melissa Martinez  Alice Ardelean,0  0,72  92,0  0,0  0,Women's Strawweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/6a0047ac8c99fece,2025-06-15 11:53:45.228406
win,Austen Lane  Robelis Despaigne,0  0,23  31,3  0,0  0,Heavyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/6a0047ac8c99fece,2025-06-15 11:53:45.228406
win,Brandon Royval  Tatsuro Taira,0  0,124  42,3  6,3  1,Flyweight,S-DEC,5,5:00,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,JunYong Park  Brad Tavares,0  0,99  65,2  0,0  0,Middleweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,Chidi Njokuani  Jared Gooden,0  0,105  20,0  2,0  1,Welterweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,Grant Dawson  Rafa Garcia,0  0,44  5,2  0,0  0,Lightweight,KO/TKO  Punches,2,1:42,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,Daniel Rodriguez  Alex Morono,0  0,123  74,1  0,0  0,Welterweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,Ramazan Temirov  CJ Vergara,3  0,23  4,0  0,0  0,Flyweight,KO/TKO  Punch,1,2:50,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,Pat Sabatini  Jonathan Pearce,0  0,3  2,2  0,1  0,Featherweight,SUB  Rear Naked Choke,1,4:06,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,Themba Gorimbo  Niko Price,0  0,68  16,7  0,2  1,Welterweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,Junior Tafa  Sean Sharaf,0  0,71  53,0  1,0  0,Heavyweight,KO/TKO  Punches,2,2:15,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,Julia Polastri  Cory McKenna,0  0,88  40,0  1,0  0,Women's Strawweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,Cody Haddon  Dan Argueta,0  0,140  54,2  4,0  1,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,Clayton Carpenter  Lucas Rocha,0  0,34  17,2  0,1  0,Flyweight,SUB  Rear Naked Choke,2,2:12,,http://ufcstats.com/event-details/5bdcbd8dd681a257,2025-06-15 11:53:45.774837
win,Alex Pereira  Khalil Rountree Jr.,1  0,127  61,0  0,0  0,Light Heavyweight,KO/TKO  Punch,4,4:32,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Julianna Pena  Raquel Pennington,0  1,92  92,2  0,1  0,Women's Bantamweight,S-DEC,5,5:00,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Mario Bautista  Jose Aldo,0  0,49  51,0  0,0  0,Bantamweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Roman Dolidze  Kevin Holland,0  0,19  18,1  0,0  0,Middleweight,KO/TKO,1,5:00,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Kayla Harrison  Ketlen Vieira,0  0,55  24,2  0,0  0,Women's Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Joaquin Buckley  Stephen Thompson,1  0,34  49,4  0,0  0,Welterweight,KO/TKO  Punch,3,2:17,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Iasmin Lucindo  Marina Rodriguez,0  0,30  33,3  1,0  0,Women's Strawweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Alexander Hernandez  Austin Hubbard,0  0,79  63,0  0,0  0,Lightweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Cesar Almeida  Ihor Potieria,0  0,57  44,0  3,1  0,Middleweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Ryan Spann  Ovince Saint Preux,0  0,9  7,0  0,1  0,Light Heavyweight,SUB  Guillotine Choke,1,1:35,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Tecia Pennington  Carla Esparza,0  0,80  39,0  4,0  0,Women's Strawweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Court McGee  Tim Means,0  0,14  5,1  0,1  0,Welterweight,SUB  Rear Naked Choke,1,3:19,,http://ufcstats.com/event-details/eee8efec7b951d84,2025-06-15 11:53:46.290035
win,Renato Moicano  Benoit Saint Denis,0  0,50  25,1  0,0  0,Lightweight,KO/TKO,2,5:00,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Nassourdine Imavov  Brendan Allen,0  0,57  30,0  1,0  0,Middleweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,William Gomis  Joanderson Brito,0  0,43  29,0  3,0  2,Featherweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Bryan Battle  Kevin Jousset,0  0,97  58,0  0,0  0,Welterweight,KO/TKO  Punches,2,3:47,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Morgan Charriere  Gabriel Miranda,1  0,19  11,2  1,0  0,Featherweight,KO/TKO  Punch,2,0:27,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Fares Ziam  Matt Frevola,1  0,58  16,4  1,1  1,Lightweight,KO/TKO  Knee,3,2:59,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Ion Cutelaba  Ivan Erslan,0  0,45  39,3  1,0  0,Light Heavyweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Oumar Sy  Da Woon Jung,0  0,90  29,2  0,0  0,Light Heavyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Ludovit Klein  Roosevelt Roberts,0  0,45  24,2  0,0  0,Lightweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Taylor Lapilus  Vince Morales,0  0,94  39,0  2,0  0,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Ailin Perez  Daria Zhelezniakova,0  0,7  5,2  1,1  0,Women's Bantamweight,SUB  Arm Triangle,1,3:52,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Daniel Barez  Victor Altamirano,1  0,67  71,0  0,0  0,Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Jacqueline Cavalcanti  Nora Cornolle,0  0,54  54,0  1,0  0,Women's Bantamweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Chris Duncan  Bolaji Oki,0  0,10  28,0  2,1  0,Lightweight,SUB  Guillotine Choke,1,3:34,,http://ufcstats.com/event-details/079488710f012779,2025-06-15 11:53:46.805412
win,Merab Dvalishvili  Sean O'Malley,0  0,82  47,6  0,0  0,Bantamweight,U-DEC,5,5:00,,http://ufcstats.com/event-details/0c01568b1ac77bff,2025-06-15 11:53:47.270368
win,Valentina Shevchenko  Alexa Grasso,0  0,45  18,8  1,0  2,Women's Flyweight,U-DEC,5,5:00,,http://ufcstats.com/event-details/0c01568b1ac77bff,2025-06-15 11:53:47.270368
win,Diego Lopes  Brian Ortega,0  0,106  63,1  0,0  0,Featherweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/0c01568b1ac77bff,2025-06-15 11:53:47.270368
win,Esteban Ribovics  Daniel Zellhuber,0  1,156  121,0  0,0  0,Lightweight,S-DEC,3,5:00,,http://ufcstats.com/event-details/0c01568b1ac77bff,2025-06-15 11:53:47.270368
win,Ronaldo Rodriguez  Ode Osbourne,0  1,35  37,1  1,0  2,Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/0c01568b1ac77bff,2025-06-15 11:53:47.270368
win,Norma Dumont  Irene Aldana,0  0,159  69,0  0,0  0,Women's Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/0c01568b1ac77bff,2025-06-15 11:53:47.270368
win,Ignacio Bahamondes  Manuel Torres,2  0,31  20,0  0,0  0,Lightweight,KO/TKO  Punch,1,4:02,,http://ufcstats.com/event-details/0c01568b1ac77bff,2025-06-15 11:53:47.270368
win,Ketlen Souza  Yazmin Jauregui,1  0,21  35,0  0,1  0,Women's Strawweight,SUB  Rear Naked Choke,1,3:02,,http://ufcstats.com/event-details/0c01568b1ac77bff,2025-06-15 11:53:47.270368
win,Joshua Van  Edgar Chairez,0  0,118  79,3  0,0  1,Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/0c01568b1ac77bff,2025-06-15 11:53:47.270368
win,Raul Rosas Jr.  Aoriqileng,0  0,41  22,3  0,0  0,Bantamweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/0c01568b1ac77bff,2025-06-15 11:53:47.270368
win,Sean Brady  Gilbert Burns,0  0,130  47,7  1,0  0,Welterweight,U-DEC,5,5:00,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Natalia Silva  Jessica Andrade,0  0,117  50,0  0,0  0,Women's Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Steve Garcia  Kyle Nelson,0  0,22  1,0  0,0  0,Featherweight,KO/TKO  Elbows,1,3:59,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Cody Durden  Matt Schnell,0  0,34  40,0  0,1  0,Bantamweight,SUB  Guillotine Choke,2,0:29,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Yanal Ashmouz  Trevor Peek,0  0,42  55,9  0,0  0,Lightweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Chris Padilla  Rongzhu,0  0,68  49,0  0,0  0,Lightweight,KO/TKO,2,4:14,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Isaac Dulgarian  Brendon Marotte,0  0,41  3,2  0,2  0,Featherweight,SUB  Arm Triangle,2,4:19,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Andre Lima  Felipe dos Santos,0  0,18  38,2  0,2  0,Flyweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Gabriel Santos  Yizha,1  0,76  41,2  0,0  0,Featherweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Jaqueline Amorim  Vanessa Demopoulos,0  0,2  2,1  0,1  0,Women's Strawweight,SUB  Armbar,1,3:28,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Andre Petroski  Dylan Budka,0  0,23  17,3  0,0  0,Middleweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Nathan Fletcher  Zygimantas Ramaska,0  0,14  6,4  0,1  1,Featherweight,SUB  Arm Triangle,2,1:14,,http://ufcstats.com/event-details/ee0b69e307c857e5,2025-06-15 11:53:47.806273
win,Caio Borralho  Jared Cannonier,1  0,153  83,0  0,1  0,Middleweight,U-DEC,5,5:00,,http://ufcstats.com/event-details/be8ad887e4d674b0,2025-06-15 11:53:48.245269
win,Tabatha Ricci  Angela Hill,0  0,101  112,3  0,0  0,Women's Strawweight,U-DEC,3,5:00,,http://ufcstats.com/event-details/be8ad887e4d674b0,2025-06-15 11:53:48.245269
win,Ryan Loder  Robert Valentin,0  0,42  1,1  0,1  2,Middleweight,KO/TKO  Elbows,2,1:49,,http://ufcstats.com/event-details/be8ad887e4d674b0,2025-06-15 11:53:48.245269
win,Mairon Santos  Kaan Ofli,1  0,31  12,0  0,0  0,Featherweight,KO/TKO  Punch,2,1:30,,http://ufcstats.com/event-details/be8ad887e4d674b0,2025-06-15 11:53:48.245269
win,Michael Morales  Neil Magny,1  0,34  5,0  0,0  0,Welterweight,KO/TKO  Punches,1,4:39,,http://ufcstats.com/event-details/be8ad887e4d674b0,2025-06-15 11:53:48.245269
win,Gerald Meerschaert  Edmen Shahbazyan,0  0,21  48,1  0,1  0,Middleweight,SUB  Arm Triangle,2,4:12,,http://ufcstats.com/event-details/be8ad887e4d674b0,2025-06-15 11:53:48.245269
