EVENT,BOUT,jfighter,FIGHTER,DATE,win,predicted_prob,odds
UFC 160: Velasquez vs Silva 2,Cain Velasquez vs. Antonio Silva,CainVelasquez,Cain Velasquez,2013-05-25,1,0.7254723,1.38
UFC 160: Velasquez vs Silva 2,Cain Velasquez vs. Antonio Silva,AntonioSilva,Antonio Silva,2013-05-25,0,0.2690962,3.72
UFC 160: Velasquez vs Silva 2,Khabib Nurmagomedov vs. Abel Trujillo,KhabibNurmagomedov,Khabib Nurmagomedov,2013-05-25,1,0.6660311,1.5
UFC 160: Velasquez vs Silva 2,Khabib Nurmagomedov vs. Abel Trujillo,AbelTrujillo,Abel Trujillo,2013-05-25,0,0.42005438,2.38
UFC 160: Velasquez vs Silva 2,Brian Bowles vs. George Roop,BrianBowles,Brian Bowles,2013-05-25,0,0.48518625,2.06
UFC 160: Velasquez vs Silva 2,Brian Bowles vs. George Roop,GeorgeRoop,George Roop,2013-05-25,1,0.537812,1.86
UFC 160: Velasquez vs Silva 2,Mike Pyle vs. Rick Story,MikePyle,Mike Pyle,2013-05-25,1,0.41142747,2.43
UFC 160: Velasquez vs Silva 2,Mike Pyle vs. Rick Story,RickStory,Rick Story,2013-05-25,0,0.5568808,1.8
UFC 160: Velasquez vs Silva 2,Colton Smith vs. Robert Whittaker,ColtonSmith,Colton Smith,2013-05-25,0,0.52448857,1.91
UFC 160: Velasquez vs Silva 2,Colton Smith vs. Robert Whittaker,RobertWhittaker,Robert Whittaker,2013-05-25,1,0.60671175,1.65
UFC on FUEL TV: Nogueira vs. Werdum,Raphael Assuncao vs. Vaughan Lee,RaphaelAssuncao,Raphael Assuncao,2013-06-08,1,0.6426813,1.56
UFC on FUEL TV: Nogueira vs. Werdum,Raphael Assuncao vs. Vaughan Lee,VaughanLee,Vaughan Lee,2013-06-08,0,0.43325862,2.31
UFC on FUEL TV: Nogueira vs. Werdum,Godofredo Pepey vs. Felipe Arantes,GodofredoPepey,Godofredo Pepey,2013-06-08,0,0.42508203,2.35
UFC on FUEL TV: Nogueira vs. Werdum,Godofredo Pepey vs. Felipe Arantes,FelipeArantes,Felipe Arantes,2013-06-08,1,0.5255026,1.9
UFC on FUEL TV: Nogueira vs. Werdum,Rony Jason vs. Mike Wilkinson,RonyJason,Rony Jason,2013-06-08,1,0.7318182,1.37
UFC on FUEL TV: Nogueira vs. Werdum,Rony Jason vs. Mike Wilkinson,MikeWilkinson,Mike Wilkinson,2013-06-08,0,0.45345488,2.21
UFC on FUEL TV: Nogueira vs. Werdum,Rodrigo Damm vs. Mizuto Hirota,RodrigoDamm,Rodrigo Damm,2013-06-08,1,0.77529436,1.29
UFC on FUEL TV: Nogueira vs. Werdum,Rodrigo Damm vs. Mizuto Hirota,MizutoHirota,Mizuto Hirota,2013-06-08,0,0.34779885,2.88
UFC on FUEL TV: Nogueira vs. Werdum,Antonio Rodrigo Nogueira vs. Fabricio Werdum,AntonioRodrigoNogueira,Antonio Rodrigo Nogueira,2013-06-08,0,0.46156836,2.17
UFC on FUEL TV: Nogueira vs. Werdum,Antonio Rodrigo Nogueira vs. Fabricio Werdum,FabricioWerdum,Fabricio Werdum,2013-06-08,1,0.49703744,2.01
UFC on FUEL TV: Nogueira vs. Werdum,Erick Silva vs. Jason High,ErickSilva,Erick Silva,2013-06-08,1,0.7490888,1.33
UFC on FUEL TV: Nogueira vs. Werdum,Erick Silva vs. Jason High,JasonHigh,Jason High,2013-06-08,0,0.32536617,3.07
UFC on FUEL TV: Nogueira vs. Werdum,Caio Magalhaes vs. Karlos Vemola,CaioMagalhaes,Caio Magalhaes,2013-06-08,1,0.6686962,1.5
UFC on FUEL TV: Nogueira vs. Werdum,Caio Magalhaes vs. Karlos Vemola,KarlosVemola,Karlos Vemola,2013-06-08,0,0.40767628,2.45
UFC 161: Evans vs Henderson,Roland Delorme vs. Edwin Figueroa,RolandDelorme,Roland Delorme,2013-06-15,1,0.758772,1.32
UFC 161: Evans vs Henderson,Roland Delorme vs. Edwin Figueroa,EdwinFigueroa,Edwin Figueroa,2013-06-15,0,0.3270934,3.06
UFC 161: Evans vs Henderson,Pat Barry vs. Shawn Jordan,PatBarry,Pat Barry,2013-06-15,0,0.3396334,2.94
UFC 161: Evans vs Henderson,Pat Barry vs. Shawn Jordan,ShawnJordan,Shawn Jordan,2013-06-15,1,0.71541536,1.4
UFC 161: Evans vs Henderson,Jake Shields vs. Tyron Woodley,JakeShields,Jake Shields,2013-06-15,1,0.45854208,2.18
UFC 161: Evans vs Henderson,Jake Shields vs. Tyron Woodley,TyronWoodley,Tyron Woodley,2013-06-15,0,0.5306306,1.88
UFC 161: Evans vs Henderson,Mitch Clarke vs. John Maguire,MitchClarke,Mitch Clarke,2013-06-15,1,0.4967977,2.01
UFC 161: Evans vs Henderson,Mitch Clarke vs. John Maguire,JohnMaguire,John Maguire,2013-06-15,0,0.59376454,1.68
UFC 161: Evans vs Henderson,Rashad Evans vs. Dan Henderson,RashadEvans,Rashad Evans,2013-06-15,1,0.5822485,1.72
UFC 161: Evans vs Henderson,Rashad Evans vs. Dan Henderson,DanHenderson,Dan Henderson,2013-06-15,0,0.33299136,3.0
UFC 161: Evans vs Henderson,Sean Pierson vs. Kenny Robertson,SeanPierson,Sean Pierson,2013-06-15,1,0.4594388,2.18
UFC 161: Evans vs Henderson,Sean Pierson vs. Kenny Robertson,KennyRobertson,Kenny Robertson,2013-06-15,0,0.48137918,2.08
UFC 161: Evans vs Henderson,Yves Jabouin vs. Dustin Pague,YvesJabouin,Yves Jabouin,2013-06-15,1,0.681747,1.47
UFC 161: Evans vs Henderson,Yves Jabouin vs. Dustin Pague,DustinPague,Dustin Pague,2013-06-15,0,0.39231834,2.55
UFC 161: Evans vs Henderson,Roy Nelson vs. Stipe Miocic,RoyNelson,Roy Nelson,2013-06-15,0,0.40563416,2.47
UFC 161: Evans vs Henderson,Roy Nelson vs. Stipe Miocic,StipeMiocic,Stipe Miocic,2013-06-15,1,0.56532514,1.77
UFC 161: Evans vs Henderson,Ryan Jimmo vs. Igor Pokrajac,RyanJimmo,Ryan Jimmo,2013-06-15,1,0.6673185,1.5
UFC 161: Evans vs Henderson,Ryan Jimmo vs. Igor Pokrajac,IgorPokrajac,Igor Pokrajac,2013-06-15,0,0.43840712,2.28
UFC 162: Silva vs Weidman,Mike Pierce vs. David Mitchell,MikePierce,Mike Pierce,2013-07-06,1,0.77969015,1.28
UFC 162: Silva vs Weidman,Mike Pierce vs. David Mitchell,DavidMitchell,David Mitchell,2013-07-06,0,0.23365912,4.28
UFC 162: Silva vs Weidman,Norman Parke vs. Kazuki Tokudome,NormanParke,Norman Parke,2013-07-06,1,0.6206843,1.61
UFC 162: Silva vs Weidman,Norman Parke vs. Kazuki Tokudome,KazukiTokudome,Kazuki Tokudome,2013-07-06,0,0.36515036,2.74
UFC 162: Silva vs Weidman,Cub Swanson vs. Dennis Siver,CubSwanson,Cub Swanson,2013-07-06,1,0.551729,1.81
UFC 162: Silva vs Weidman,Cub Swanson vs. Dennis Siver,DennisSiver,Dennis Siver,2013-07-06,0,0.33950958,2.95
UFC 162: Silva vs Weidman,Mark Munoz vs. Tim Boetsch,MarkMunoz,Mark Munoz,2013-07-06,1,0.64541364,1.55
UFC 162: Silva vs Weidman,Mark Munoz vs. Tim Boetsch,TimBoetsch,Tim Boetsch,2013-07-06,0,0.3544081,2.82
UFC 162: Silva vs Weidman,Frankie Edgar vs. Charles Oliveira,FrankieEdgar,Frankie Edgar,2013-07-06,1,0.46370506,2.16
UFC 162: Silva vs Weidman,Frankie Edgar vs. Charles Oliveira,CharlesOliveira,Charles Oliveira,2013-07-06,0,0.5789282,1.73
UFC 162: Silva vs Weidman,Chris Leben vs. Andrew Craig,ChrisLeben,Chris Leben,2013-07-06,0,0.42381006,2.36
UFC 162: Silva vs Weidman,Chris Leben vs. Andrew Craig,AndrewCraig,Andrew Craig,2013-07-06,1,0.6197082,1.61
UFC 162: Silva vs Weidman,Edson Barboza vs. Rafaello Oliveira,EdsonBarboza,Edson Barboza,2013-07-06,1,0.7271698,1.38
UFC 162: Silva vs Weidman,Edson Barboza vs. Rafaello Oliveira,RafaelloOliveira,Rafaello Oliveira,2013-07-06,0,0.34754443,2.88
UFC 162: Silva vs Weidman,Gabriel Gonzaga vs. Dave Herman,GabrielGonzaga,Gabriel Gonzaga,2013-07-06,1,0.50927323,1.96
UFC 162: Silva vs Weidman,Gabriel Gonzaga vs. Dave Herman,DaveHerman,Dave Herman,2013-07-06,0,0.2792197,3.58
UFC on FOX: Johnson vs Moraga,Mac Danzig vs. Melvin Guillard,MacDanzig,Mac Danzig,2013-07-27,0,0.24851848,4.02
UFC on FOX: Johnson vs Moraga,Mac Danzig vs. Melvin Guillard,MelvinGuillard,Melvin Guillard,2013-07-27,1,0.7439906,1.34
UFC on FOX: Johnson vs Moraga,Michael Chiesa vs. Jorge Masvidal,MichaelChiesa,Michael Chiesa,2013-07-27,0,0.34485632,2.9
UFC on FOX: Johnson vs Moraga,Michael Chiesa vs. Jorge Masvidal,JorgeMasvidal,Jorge Masvidal,2013-07-27,1,0.5631932,1.78
UFC on FOX: Johnson vs Moraga,Aaron Riley vs. Justin Salas,AaronRiley,Aaron Riley,2013-07-27,0,0.38816142,2.58
UFC on FOX: Johnson vs Moraga,Aaron Riley vs. Justin Salas,JustinSalas,Justin Salas,2013-07-27,1,0.58713627,1.7
UFC on FOX: Johnson vs Moraga,Robbie Lawler vs. Bobby Voelker,RobbieLawler,Robbie Lawler,2013-07-27,1,0.55337834,1.81
UFC on FOX: Johnson vs Moraga,Robbie Lawler vs. Bobby Voelker,BobbyVoelker,Bobby Voelker,2013-07-27,0,0.37964338,2.63
UFC on FOX: Johnson vs Moraga,Danny Castillo vs. Tim Means,DannyCastillo,Danny Castillo,2013-07-27,1,0.52960545,1.89
UFC on FOX: Johnson vs Moraga,Danny Castillo vs. Tim Means,TimMeans,Tim Means,2013-07-27,0,0.36067185,2.77
UFC on FOX: Johnson vs Moraga,John Albert vs. Yaotzin Meza,JohnAlbert,John Albert,2013-07-27,0,0.46404636,2.15
UFC on FOX: Johnson vs Moraga,John Albert vs. Yaotzin Meza,YaotzinMeza,Yaotzin Meza,2013-07-27,1,0.45557994,2.2
UFC on FOX: Johnson vs Moraga,Rory MacDonald vs. Jake Ellenberger,RoryMacDonald,Rory MacDonald,2013-07-27,1,0.5746972,1.74
UFC on FOX: Johnson vs Moraga,Rory MacDonald vs. Jake Ellenberger,JakeEllenberger,Jake Ellenberger,2013-07-27,0,0.35902095,2.79
UFC on FOX: Johnson vs Moraga,Demetrious Johnson vs. John Moraga,DemetriousJohnson,Demetrious Johnson,2013-07-27,1,0.54264164,1.84
UFC on FOX: Johnson vs Moraga,Demetrious Johnson vs. John Moraga,JohnMoraga,John Moraga,2013-07-27,0,0.3336089,3.0
UFC on FOX: Johnson vs Moraga,Yves Edwards vs. Daron Cruickshank,YvesEdwards,Yves Edwards,2013-07-27,0,0.38467017,2.6
UFC on FOX: Johnson vs Moraga,Yves Edwards vs. Daron Cruickshank,DaronCruickshank,Daron Cruickshank,2013-07-27,1,0.6054044,1.65
UFC 163: Aldo vs Jung,Rani Yahya vs. Josh Clopton,RaniYahya,Rani Yahya,2013-08-03,1,0.6771306,1.48
UFC 163: Aldo vs Jung,Rani Yahya vs. Josh Clopton,JoshClopton,Josh Clopton,2013-08-03,0,0.38487878,2.6
UFC 163: Aldo vs Jung,Lyoto Machida vs. Phil Davis,LyotoMachida,Lyoto Machida,2013-08-03,0,0.36904454,2.71
UFC 163: Aldo vs Jung,Lyoto Machida vs. Phil Davis,PhilDavis,Phil Davis,2013-08-03,1,0.5844898,1.71
UFC 163: Aldo vs Jung,Ian McCall vs. Iliarde Santos,IanMcCall,Ian McCall,2013-08-03,1,0.8238696,1.21
UFC 163: Aldo vs Jung,Ian McCall vs. Iliarde Santos,IliardeSantos,Iliarde Santos,2013-08-03,0,0.5077555,1.97
UFC 163: Aldo vs Jung,Thales Leites vs. Tom Watson,ThalesLeites,Thales Leites,2013-08-03,1,0.52718914,1.9
UFC 163: Aldo vs Jung,Thales Leites vs. Tom Watson,TomWatson,Tom Watson,2013-08-03,0,0.51839477,1.93
UFC 163: Aldo vs Jung,Sergio Moraes vs. Neil Magny,SergioMoraes,Sergio Moraes,2013-08-03,1,0.25396422,3.94
UFC 163: Aldo vs Jung,Sergio Moraes vs. Neil Magny,NeilMagny,Neil Magny,2013-08-03,0,0.57485133,1.74
UFC 163: Aldo vs Jung,Vinny Magalhaes vs. Anthony Perosh,VinnyMagalhaes,Vinny Magalhaes,2013-08-03,0,0.53734344,1.86
UFC 163: Aldo vs Jung,Vinny Magalhaes vs. Anthony Perosh,AnthonyPerosh,Anthony Perosh,2013-08-03,1,0.46038267,2.17
UFC 163: Aldo vs Jung,Jose Aldo vs. Chan Sung Jung,JoseAldo,Jose Aldo,2013-08-03,1,0.41014153,2.44
UFC 163: Aldo vs Jung,Jose Aldo vs. Chan Sung Jung,ChanSungJung,Chan Sung Jung,2013-08-03,0,0.49997443,2.0
UFC Fight Night: Shogun vs Sonnen,Mike Brown vs. Steven Siler,MikeBrown,Mike Brown,2013-08-17,0,0.25818482,3.87
UFC Fight Night: Shogun vs Sonnen,Mike Brown vs. Steven Siler,StevenSiler,Steven Siler,2013-08-17,1,0.7211033,1.39
UFC Fight Night: Shogun vs Sonnen,Diego Brandao vs. Daniel Pineda,DiegoBrandao,Diego Brandao,2013-08-17,1,0.57780993,1.73
UFC Fight Night: Shogun vs Sonnen,Diego Brandao vs. Daniel Pineda,DanielPineda,Daniel Pineda,2013-08-17,0,0.5709508,1.75
UFC Fight Night: Shogun vs Sonnen,Cody Donovan vs. Ovince Saint Preux,CodyDonovan,Cody Donovan,2013-08-17,0,0.44843268,2.23
UFC Fight Night: Shogun vs Sonnen,Cody Donovan vs. Ovince Saint Preux,OvinceSaintPreux,Ovince Saint Preux,2013-08-17,1,0.51266754,1.95
UFC Fight Night: Shogun vs Sonnen,Manvel Gamburyan vs. Cole Miller,ManvelGamburyan,Manvel Gamburyan,2013-08-17,1,0.36293057,2.76
UFC Fight Night: Shogun vs Sonnen,Manvel Gamburyan vs. Cole Miller,ColeMiller,Cole Miller,2013-08-17,0,0.5757969,1.74
UFC Fight Night: Shogun vs Sonnen,Uriah Hall vs. John Howard,UriahHall,Uriah Hall,2013-08-17,0,0.62583303,1.6
UFC Fight Night: Shogun vs Sonnen,Uriah Hall vs. John Howard,JohnHoward,John Howard,2013-08-17,1,0.4282463,2.34
UFC Fight Night: Shogun vs Sonnen,Mauricio Rua vs. Chael Sonnen,MauricioRua,Mauricio Rua,2013-08-17,0,0.3965576,2.52
UFC Fight Night: Shogun vs Sonnen,Mauricio Rua vs. Chael Sonnen,ChaelSonnen,Chael Sonnen,2013-08-17,1,0.6415525,1.56
UFC Fight Night: Shogun vs Sonnen,Matt Brown vs. Mike Pyle,MattBrown,Matt Brown,2013-08-17,1,0.70295155,1.42
UFC Fight Night: Shogun vs Sonnen,Matt Brown vs. Mike Pyle,MikePyle,Mike Pyle,2013-08-17,0,0.3790952,2.64
UFC Fight Night: Shogun vs Sonnen,Conor McGregor vs. Max Holloway,ConorMcGregor,Conor McGregor,2013-08-17,1,0.37478077,2.67
UFC Fight Night: Shogun vs Sonnen,Conor McGregor vs. Max Holloway,MaxHolloway,Max Holloway,2013-08-17,0,0.5835927,1.71
UFC Fight Night: Shogun vs Sonnen,Alistair Overeem vs. Travis Browne,AlistairOvereem,Alistair Overeem,2013-08-17,0,0.33741453,2.96
UFC Fight Night: Shogun vs Sonnen,Alistair Overeem vs. Travis Browne,TravisBrowne,Travis Browne,2013-08-17,1,0.73500115,1.36
UFC Fight Night: Shogun vs Sonnen,Urijah Faber vs. Iuri Alcantara,UrijahFaber,Urijah Faber,2013-08-17,1,0.59359765,1.68
UFC Fight Night: Shogun vs Sonnen,Urijah Faber vs. Iuri Alcantara,IuriAlcantara,Iuri Alcantara,2013-08-17,0,0.38192564,2.62
UFC Fight Night: Shogun vs Sonnen,Joe Lauzon vs. Michael Johnson,JoeLauzon,Joe Lauzon,2013-08-17,0,0.43408826,2.3
UFC Fight Night: Shogun vs Sonnen,Joe Lauzon vs. Michael Johnson,MichaelJohnson,Michael Johnson,2013-08-17,1,0.7000517,1.43
UFC Fight Night: Condit vs Kampmann 2,Kelvin Gastelum vs. Brian Melancon,KelvinGastelum,Kelvin Gastelum,2013-08-28,1,0.5462913,1.83
UFC Fight Night: Condit vs Kampmann 2,Kelvin Gastelum vs. Brian Melancon,BrianMelancon,Brian Melancon,2013-08-28,0,0.44299844,2.26
UFC Fight Night: Condit vs Kampmann 2,Donald Cerrone vs. Rafael Dos Anjos,DonaldCerrone,Donald Cerrone,2013-08-28,0,0.32254994,3.1
UFC Fight Night: Condit vs Kampmann 2,Donald Cerrone vs. Rafael Dos Anjos,RafaelDosAnjos,Rafael Dos Anjos,2013-08-28,1,0.57441306,1.74
UFC Fight Night: Condit vs Kampmann 2,Dylan Andrews vs. Papy Abedi,DylanAndrews,Dylan Andrews,2013-08-28,1,0.6201107,1.61
UFC Fight Night: Condit vs Kampmann 2,Dylan Andrews vs. Papy Abedi,PapyAbedi,Papy Abedi,2013-08-28,0,0.3758248,2.66
UFC Fight Night: Condit vs Kampmann 2,Court McGee vs. Robert Whittaker,CourtMcGee,Court McGee,2013-08-28,1,0.40162995,2.49
UFC Fight Night: Condit vs Kampmann 2,Court McGee vs. Robert Whittaker,RobertWhittaker,Robert Whittaker,2013-08-28,0,0.62380785,1.6
UFC Fight Night: Condit vs Kampmann 2,James Head vs. Jason High,JamesHead,James Head,2013-08-28,0,0.6463624,1.55
UFC Fight Night: Condit vs Kampmann 2,James Head vs. Jason High,JasonHigh,Jason High,2013-08-28,1,0.31017545,3.22
UFC Fight Night: Condit vs Kampmann 2,Takeya Mizugaki vs. Erik Perez,TakeyaMizugaki,Takeya Mizugaki,2013-08-28,1,0.5489547,1.82
UFC Fight Night: Condit vs Kampmann 2,Takeya Mizugaki vs. Erik Perez,ErikPerez,Erik Perez,2013-08-28,0,0.6022557,1.66
UFC Fight Night: Condit vs Kampmann 2,Carlos Condit vs. Martin Kampmann,CarlosCondit,Carlos Condit,2013-08-28,1,0.54014933,1.85
UFC Fight Night: Condit vs Kampmann 2,Carlos Condit vs. Martin Kampmann,MartinKampmann,Martin Kampmann,2013-08-28,0,0.4138331,2.42
UFC Fight Night: Condit vs Kampmann 2,Brad Tavares vs. Robert McDaniel,BradTavares,Brad Tavares,2013-08-28,1,0.58782655,1.7
UFC Fight Night: Condit vs Kampmann 2,Brad Tavares vs. Robert McDaniel,RobertMcDaniel,Robert McDaniel,2013-08-28,0,0.37651438,2.66
UFC Fight Night: Condit vs Kampmann 2,Darren Elkins vs. Hatsu Hioki,DarrenElkins,Darren Elkins,2013-08-28,1,0.59513694,1.68
UFC Fight Night: Condit vs Kampmann 2,Darren Elkins vs. Hatsu Hioki,HatsuHioki,Hatsu Hioki,2013-08-28,0,0.37967113,2.63
UFC 164: Henderson vs Pettis 2,Benson Henderson vs. Anthony Pettis,BensonHenderson,Benson Henderson,2013-08-31,0,0.44437495,2.25
UFC 164: Henderson vs Pettis 2,Benson Henderson vs. Anthony Pettis,AnthonyPettis,Anthony Pettis,2013-08-31,1,0.4718659,2.12
UFC 164: Henderson vs Pettis 2,Jamie Varner vs. Gleison Tibau,JamieVarner,Jamie Varner,2013-08-31,0,0.43684092,2.29
UFC 164: Henderson vs Pettis 2,Jamie Varner vs. Gleison Tibau,GleisonTibau,Gleison Tibau,2013-08-31,1,0.4917334,2.03
UFC 164: Henderson vs Pettis 2,Louis Gaudinot vs. Tim Elliott,LouisGaudinot,Louis Gaudinot,2013-08-31,0,0.2986227,3.35
UFC 164: Henderson vs Pettis 2,Louis Gaudinot vs. Tim Elliott,TimElliott,Tim Elliott,2013-08-31,1,0.7539443,1.33
UFC 164: Henderson vs Pettis 2,Jared Hamman vs. Magnus Cedenblad,JaredHamman,Jared Hamman,2013-08-31,0,0.53055453,1.88
UFC 164: Henderson vs Pettis 2,Jared Hamman vs. Magnus Cedenblad,MagnusCedenblad,Magnus Cedenblad,2013-08-31,1,0.48505992,2.06
UFC 164: Henderson vs Pettis 2,Ben Rothwell vs. Brandon Vera,BenRothwell,Ben Rothwell,2013-08-31,1,0.5280984,1.89
UFC 164: Henderson vs Pettis 2,Ben Rothwell vs. Brandon Vera,BrandonVera,Brandon Vera,2013-08-31,0,0.40282205,2.48
UFC 164: Henderson vs Pettis 2,Ryan Couture vs. Al Iaquinta,RyanCouture,Ryan Couture,2013-08-31,0,0.50434464,1.98
UFC 164: Henderson vs Pettis 2,Ryan Couture vs. Al Iaquinta,AlIaquinta,Al Iaquinta,2013-08-31,1,0.5884463,1.7
UFC 164: Henderson vs Pettis 2,Erik Koch vs. Dustin Poirier,ErikKoch,Erik Koch,2013-08-31,0,0.3173446,3.15
UFC 164: Henderson vs Pettis 2,Erik Koch vs. Dustin Poirier,DustinPoirier,Dustin Poirier,2013-08-31,1,0.7627781,1.31
UFC 164: Henderson vs Pettis 2,Chad Mendes vs. Clay Guida,ChadMendes,Chad Mendes,2013-08-31,1,0.6322381,1.58
UFC 164: Henderson vs Pettis 2,Chad Mendes vs. Clay Guida,ClayGuida,Clay Guida,2013-08-31,0,0.20948224,4.77
UFC 164: Henderson vs Pettis 2,Pascal Krauss vs. Hyun Gyu Lim,PascalKrauss,Pascal Krauss,2013-08-31,0,0.5445256,1.84
UFC 164: Henderson vs Pettis 2,Pascal Krauss vs. Hyun Gyu Lim,HyunGyuLim,Hyun Gyu Lim,2013-08-31,1,0.4788415,2.09
UFC 164: Henderson vs Pettis 2,Frank Mir vs. Josh Barnett,FrankMir,Frank Mir,2013-08-31,0,0.37387705,2.67
UFC 164: Henderson vs Pettis 2,Frank Mir vs. Josh Barnett,JoshBarnett,Josh Barnett,2013-08-31,1,0.7719965,1.3
UFC Fight Night: Teixeira vs Bader,Yushin Okami vs. Jacare Souza,YushinOkami,Yushin Okami,2013-09-04,0,0.43296337,2.31
UFC Fight Night: Teixeira vs Bader,Yushin Okami vs. Jacare Souza,JacareSouza,Jacare Souza,2013-09-04,1,0.60321075,1.66
UFC Fight Night: Teixeira vs Bader,Rafael Natal vs. Tor Troeng,RafaelNatal,Rafael Natal,2013-09-04,1,0.6782231,1.47
UFC Fight Night: Teixeira vs Bader,Rafael Natal vs. Tor Troeng,TorTroeng,Tor Troeng,2013-09-04,0,0.26540706,3.77
UFC Fight Night: Teixeira vs Bader,Yuri Villefort vs. Sean Spencer,YuriVillefort,Yuri Villefort,2013-09-04,0,0.57667017,1.73
UFC Fight Night: Teixeira vs Bader,Yuri Villefort vs. Sean Spencer,SeanSpencer,Sean Spencer,2013-09-04,1,0.50138664,1.99
UFC Fight Night: Teixeira vs Bader,Glover Teixeira vs. Ryan Bader,GloverTeixeira,Glover Teixeira,2013-09-04,1,0.4668329,2.14
UFC Fight Night: Teixeira vs Bader,Glover Teixeira vs. Ryan Bader,RyanBader,Ryan Bader,2013-09-04,0,0.5229301,1.91
UFC Fight Night: Teixeira vs Bader,Joseph Benavidez vs. Jussier Formiga,JosephBenavidez,Joseph Benavidez,2013-09-04,1,0.6416239,1.56
UFC Fight Night: Teixeira vs Bader,Joseph Benavidez vs. Jussier Formiga,JussierFormiga,Jussier Formiga,2013-09-04,0,0.3197786,3.13
UFC 165: Jones vs Gustafsson,Renan Barao vs. Eddie Wineland,RenanBarao,Renan Barao,2013-09-21,1,0.81003344,1.23
UFC 165: Jones vs Gustafsson,Renan Barao vs. Eddie Wineland,EddieWineland,Eddie Wineland,2013-09-21,0,0.17023642,5.87
UFC 165: Jones vs Gustafsson,Mike Ricci vs. Myles Jury,MikeRicci,Mike Ricci,2013-09-21,0,0.19064806,5.25
UFC 165: Jones vs Gustafsson,Mike Ricci vs. Myles Jury,MylesJury,Myles Jury,2013-09-21,1,0.5862472,1.71
UFC 165: Jones vs Gustafsson,Jon Jones vs. Alexander Gustafsson,JonJones,Jon Jones,2013-09-21,1,0.72838426,1.37
UFC 165: Jones vs Gustafsson,Jon Jones vs. Alexander Gustafsson,AlexanderGustafsson,Alexander Gustafsson,2013-09-21,0,0.24453144,4.09
UFC 165: Jones vs Gustafsson,Chris Clements vs. Stephen Thompson,ChrisClements,Chris Clements,2013-09-21,0,0.37253883,2.68
UFC 165: Jones vs Gustafsson,Chris Clements vs. Stephen Thompson,StephenThompson,Stephen Thompson,2013-09-21,1,0.6448552,1.55
UFC 165: Jones vs Gustafsson,Brendan Schaub vs. Matt Mitrione,BrendanSchaub,Brendan Schaub,2013-09-21,1,0.50848746,1.97
UFC 165: Jones vs Gustafsson,Brendan Schaub vs. Matt Mitrione,MattMitrione,Matt Mitrione,2013-09-21,0,0.41231063,2.43
UFC 165: Jones vs Gustafsson,Mitch Gagnon vs. Dustin Kimura,MitchGagnon,Mitch Gagnon,2013-09-21,1,0.51182634,1.95
UFC 165: Jones vs Gustafsson,Mitch Gagnon vs. Dustin Kimura,DustinKimura,Dustin Kimura,2013-09-21,0,0.36872888,2.71
UFC 165: Jones vs Gustafsson,Pat Healy vs. Khabib Nurmagomedov,PatHealy,Pat Healy,2013-09-21,0,0.20393656,4.9
UFC 165: Jones vs Gustafsson,Pat Healy vs. Khabib Nurmagomedov,KhabibNurmagomedov,Khabib Nurmagomedov,2013-09-21,1,0.6825879,1.47
UFC 165: Jones vs Gustafsson,John Makdessi vs. Renee Forte,JohnMakdessi,John Makdessi,2013-09-21,1,0.38204506,2.62
UFC 165: Jones vs Gustafsson,John Makdessi vs. Renee Forte,ReneeForte,Renee Forte,2013-09-21,0,0.4787822,2.09
UFC 165: Jones vs Gustafsson,Roland Delorme vs. Alex Caceres,RolandDelorme,Roland Delorme,2013-09-21,0,0.45817137,2.18
UFC 165: Jones vs Gustafsson,Roland Delorme vs. Alex Caceres,AlexCaceres,Alex Caceres,2013-09-21,1,0.5320045,1.88
UFC 165: Jones vs Gustafsson,Constantinos Philippou vs. Francis Carmont,ConstantinosPhilippou,Constantinos Philippou,2013-09-21,0,0.35486856,2.82
UFC 165: Jones vs Gustafsson,Constantinos Philippou vs. Francis Carmont,FrancisCarmont,Francis Carmont,2013-09-21,1,0.58864063,1.7
UFC Fight Night: Maia vs Shields,Fabio Maldonado vs. Joey Beltran,FabioMaldonado,Fabio Maldonado,2013-10-09,1,0.6488911,1.54
UFC Fight Night: Maia vs Shields,Fabio Maldonado vs. Joey Beltran,JoeyBeltran,Joey Beltran,2013-10-09,0,0.49198732,2.03
UFC Fight Night: Maia vs Shields,Thiago Silva vs. Matt Hamill,ThiagoSilva,Thiago Silva,2013-10-09,1,0.45212442,2.21
UFC Fight Night: Maia vs Shields,Thiago Silva vs. Matt Hamill,MattHamill,Matt Hamill,2013-10-09,0,0.33799207,2.96
UFC Fight Night: Maia vs Shields,Iliarde Santos vs. Chris Cariaso,IliardeSantos,Iliarde Santos,2013-10-09,0,0.24959648,4.01
UFC Fight Night: Maia vs Shields,Iliarde Santos vs. Chris Cariaso,ChrisCariaso,Chris Cariaso,2013-10-09,1,0.78868556,1.27
UFC Fight Night: Maia vs Shields,Raphael Assuncao vs. TJ Dillashaw,RaphaelAssuncao,Raphael Assuncao,2013-10-09,1,0.45012164,2.22
UFC Fight Night: Maia vs Shields,Raphael Assuncao vs. TJ Dillashaw,TJDillashaw,TJ Dillashaw,2013-10-09,0,0.4059845,2.46
UFC Fight Night: Maia vs Shields,Erick Silva vs. Dong Hyun Kim,ErickSilva,Erick Silva,2013-10-09,0,0.3447537,2.9
