EVENT,BOUT,jfighter,FIGHTER,DATE,win,predicted_prob,odds
UFC Fight Night: Lauzon vs Stephens,Gleison Tibau vs. Rich Clementi,RichClementi,Rich Clementi,2009-02-07,0,0.37659037,2.66
UFC 95: Sanchez vs Stevenson,Dan Hardy vs. Rory Markham,DanHardy,Dan Hardy,2009-02-21,1,0.55398935,1.81
UFC 95: Sanchez vs Stevenson,Dan Hardy vs. Rory Markham,RoryMarkham,Rory Markham,2009-02-21,0,0.34963745,2.86
UFC 95: Sanchez vs Stevenson,Diego Sanchez vs. Joe Stevenson,DiegoSanchez,Diego Sanchez,2009-02-21,1,0.56222296,1.78
UFC 95: Sanchez vs Stevenson,Diego Sanchez vs. Joe Stevenson,JoeStevenson,Joe Stevenson,2009-02-21,0,0.39632872,2.52
UFC 95: Sanchez vs Stevenson,Paul Kelly vs. Troy Mandaloniz,PaulKelly,Paul Kelly,2009-02-21,1,0.6508482,1.54
UFC 95: Sanchez vs Stevenson,Paul Kelly vs. Troy Mandaloniz,TroyMandaloniz,Troy Mandaloniz,2009-02-21,0,0.33822072,2.96
UFC 95: Sanchez vs Stevenson,Demian Maia vs. Chael Sonnen,DemianMaia,Demian Maia,2009-02-21,1,0.5270979,1.9
UFC 95: Sanchez vs Stevenson,Demian Maia vs. Chael Sonnen,ChaelSonnen,Chael Sonnen,2009-02-21,0,0.28077748,3.56
UFC 96: Jackson vs Jardine,Shane Carwin vs. Gabriel Gonzaga,ShaneCarwin,Shane Carwin,2009-03-07,1,0.42037642,2.38
UFC 96: Jackson vs Jardine,Shane Carwin vs. Gabriel Gonzaga,GabrielGonzaga,Gabriel Gonzaga,2009-03-07,0,0.46377346,2.16
UFC 96: Jackson vs Jardine,Brandon Vera vs. Michael Patt,BrandonVera,Brandon Vera,2009-03-07,1,0.54163706,1.85
UFC 96: Jackson vs Jardine,Brandon Vera vs. Michael Patt,MichaelPatt,Michael Patt,2009-03-07,0,0.4271447,2.34
UFC 96: Jackson vs Jardine,Kendall Grove vs. Jason Day,KendallGrove,Kendall Grove,2009-03-07,1,0.59665406,1.68
UFC 96: Jackson vs Jardine,Kendall Grove vs. Jason Day,JasonDay,Jason Day,2009-03-07,0,0.3625982,2.76
UFC 96: Jackson vs Jardine,Shane Nelson vs. Aaron Riley,ShaneNelson,Shane Nelson,2009-03-07,1,0.6693945,1.49
UFC 96: Jackson vs Jardine,Shane Nelson vs. Aaron Riley,AaronRiley,Aaron Riley,2009-03-07,0,0.34285638,2.92
UFC 96: Jackson vs Jardine,Gray Maynard vs. Jim Miller,GrayMaynard,Gray Maynard,2009-03-07,1,0.30727613,3.25
UFC 96: Jackson vs Jardine,Gray Maynard vs. Jim Miller,JimMiller,Jim Miller,2009-03-07,0,0.47095463,2.12
UFC 96: Jackson vs Jardine,Matt Brown vs. Pete Sell,MattBrown,Matt Brown,2009-03-07,1,0.5636685,1.77
UFC 96: Jackson vs Jardine,Matt Brown vs. Pete Sell,PeteSell,Pete Sell,2009-03-07,0,0.47550339,2.1
UFC 96: Jackson vs Jardine,Jason Brilz vs. Tim Boetsch,JasonBrilz,Jason Brilz,2009-03-07,1,0.4070845,2.46
UFC 96: Jackson vs Jardine,Jason Brilz vs. Tim Boetsch,TimBoetsch,Tim Boetsch,2009-03-07,0,0.5851815,1.71
UFC Fight Night: Condit vs Kampmann,Tim Credeur vs. Nick Catone,TimCredeur,Tim Credeur,2009-04-01,1,0.45010757,2.22
UFC Fight Night: Condit vs Kampmann,Tim Credeur vs. Nick Catone,NickCatone,Nick Catone,2009-04-01,0,0.7014706,1.43
UFC Fight Night: Condit vs Kampmann,Gleison Tibau vs. Jeremy Stephens,GleisonTibau,Gleison Tibau,2009-04-01,1,0.5208397,1.92
UFC Fight Night: Condit vs Kampmann,Gleison Tibau vs. Jeremy Stephens,JeremyStephens,Jeremy Stephens,2009-04-01,0,0.58759683,1.7
UFC Fight Night: Condit vs Kampmann,Rob Kimmons vs. Joe Vedepo,RobKimmons,Rob Kimmons,2009-04-01,1,0.5927179,1.69
UFC Fight Night: Condit vs Kampmann,Rob Kimmons vs. Joe Vedepo,JoeVedepo,Joe Vedepo,2009-04-01,0,0.3667617,2.73
UFC Fight Night: Condit vs Kampmann,Tyson Griffin vs. Rafael Dos Anjos,TysonGriffin,Tyson Griffin,2009-04-01,1,0.5741714,1.74
UFC Fight Night: Condit vs Kampmann,Tyson Griffin vs. Rafael Dos Anjos,RafaelDosAnjos,Rafael Dos Anjos,2009-04-01,0,0.42598438,2.35
UFC Fight Night: Condit vs Kampmann,Ryan Bader vs. Carmelo Marrero,RyanBader,Ryan Bader,2009-04-01,1,0.7598853,1.32
UFC Fight Night: Condit vs Kampmann,Ryan Bader vs. Carmelo Marrero,CarmeloMarrero,Carmelo Marrero,2009-04-01,0,0.38152117,2.62
UFC Fight Night: Condit vs Kampmann,Cole Miller vs. Junie Browning,ColeMiller,Cole Miller,2009-04-01,1,0.49206915,2.03
UFC Fight Night: Condit vs Kampmann,Cole Miller vs. Junie Browning,JunieBrowning,Junie Browning,2009-04-01,0,0.57612276,1.74
UFC Fight Night: Condit vs Kampmann,Ricardo Almeida vs. Matt Horwich,RicardoAlmeida,Ricardo Almeida,2009-04-01,1,0.6256727,1.6
UFC Fight Night: Condit vs Kampmann,Ricardo Almeida vs. Matt Horwich,MattHorwich,Matt Horwich,2009-04-01,0,0.32758576,3.05
UFC 97: Redemption,Nate Quarry vs. Jason MacDonald,NateQuarry,Nate Quarry,2009-04-18,1,0.43161222,2.32
UFC 97: Redemption,Nate Quarry vs. Jason MacDonald,JasonMacDonald,Jason MacDonald,2009-04-18,0,0.48612127,2.06
UFC 97: Redemption,Mark Bocek vs. David Bielkheden,MarkBocek,Mark Bocek,2009-04-18,1,0.6713875,1.49
UFC 97: Redemption,Mark Bocek vs. David Bielkheden,DavidBielkheden,David Bielkheden,2009-04-18,0,0.29583117,3.38
UFC 97: Redemption,Anderson Silva vs. Thales Leites,AndersonSilva,Anderson Silva,2009-04-18,1,0.60974544,1.64
UFC 97: Redemption,Anderson Silva vs. Thales Leites,ThalesLeites,Thales Leites,2009-04-18,0,0.47254172,2.12
UFC 97: Redemption,Cheick Kongo vs. Antoni Hardonk,CheickKongo,Cheick Kongo,2009-04-18,1,0.6660208,1.5
UFC 97: Redemption,Cheick Kongo vs. Antoni Hardonk,AntoniHardonk,Antoni Hardonk,2009-04-18,0,0.39188528,2.55
UFC 97: Redemption,Ed Herman vs. David Loiseau,EdHerman,Ed Herman,2009-04-18,1,0.58918464,1.7
UFC 97: Redemption,Ed Herman vs. David Loiseau,DavidLoiseau,David Loiseau,2009-04-18,0,0.32631087,3.06
UFC 97: Redemption,Luiz Cane vs. Steve Cantwell,LuizCane,Luiz Cane,2009-04-18,1,0.3586456,2.79
UFC 97: Redemption,Luiz Cane vs. Steve Cantwell,SteveCantwell,Steve Cantwell,2009-04-18,0,0.51787835,1.93
UFC 97: Redemption,Eliot Marshall vs. Vinny Magalhaes,EliotMarshall,Eliot Marshall,2009-04-18,1,0.79658854,1.26
UFC 97: Redemption,Eliot Marshall vs. Vinny Magalhaes,VinnyMagalhaes,Vinny Magalhaes,2009-04-18,0,0.24251103,4.12
UFC 97: Redemption,Sam Stout vs. Matt Wiman,SamStout,Sam Stout,2009-04-18,1,0.48409224,2.07
UFC 97: Redemption,Sam Stout vs. Matt Wiman,MattWiman,Matt Wiman,2009-04-18,0,0.5139929,1.95
UFC 97: Redemption,Mauricio Rua vs. Chuck Liddell,MauricioRua,Mauricio Rua,2009-04-18,1,0.718959,1.39
UFC 97: Redemption,Mauricio Rua vs. Chuck Liddell,ChuckLiddell,Chuck Liddell,2009-04-18,0,0.2496784,4.01
UFC 98: Evans vs Machida,Chael Sonnen vs. Dan Miller,ChaelSonnen,Chael Sonnen,2009-05-23,1,0.62873614,1.59
UFC 98: Evans vs Machida,Chael Sonnen vs. Dan Miller,DanMiller,Dan Miller,2009-05-23,0,0.38278994,2.61
UFC 98: Evans vs Machida,George Roop vs. David Kaplan,GeorgeRoop,George Roop,2009-05-23,1,0.6710441,1.49
UFC 98: Evans vs Machida,George Roop vs. David Kaplan,DavidKaplan,David Kaplan,2009-05-23,0,0.3574592,2.8
UFC 98: Evans vs Machida,Lyoto Machida vs. Rashad Evans,LyotoMachida,Lyoto Machida,2009-05-23,1,0.5907917,1.69
UFC 98: Evans vs Machida,Lyoto Machida vs. Rashad Evans,RashadEvans,Rashad Evans,2009-05-23,0,0.36146045,2.77
UFC 98: Evans vs Machida,Yoshiyuki Yoshida vs. Brandon Wolff,YoshiyukiYoshida,Yoshiyuki Yoshida,2009-05-23,1,0.795267,1.26
UFC 98: Evans vs Machida,Yoshiyuki Yoshida vs. Brandon Wolff,BrandonWolff,Brandon Wolff,2009-05-23,0,0.32549536,3.07
UFC 98: Evans vs Machida,Matt Hughes vs. Matt Serra,MattHughes,Matt Hughes,2009-05-23,1,0.4973742,2.01
UFC 98: Evans vs Machida,Matt Hughes vs. Matt Serra,MattSerra,Matt Serra,2009-05-23,0,0.31809548,3.14
UFC 98: Evans vs Machida,Frankie Edgar vs. Sean Sherk,FrankieEdgar,Frankie Edgar,2009-05-23,1,0.7120604,1.4
UFC 98: Evans vs Machida,Frankie Edgar vs. Sean Sherk,SeanSherk,Sean Sherk,2009-05-23,0,0.30350706,3.29
UFC 98: Evans vs Machida,Kyle Bradley vs. Phillipe Nover,KyleBradley,Kyle Bradley,2009-05-23,1,0.46228877,2.16
UFC 98: Evans vs Machida,Kyle Bradley vs. Phillipe Nover,PhillipeNover,Phillipe Nover,2009-05-23,0,0.51079446,1.96
