EVENT,DATE,FIGHTER,draftkings_odds,fanduel_odds,betmgm_odds,bet365_odds,bovada_odds
UFC 320: Ankalaev vs. Pereira 2,2025-10-05,Abus Magomedov,185,205,,,
UFC 320: Ankalaev vs. Pereira 2,2025-10-05,Joe Pyfer,-225,-250,,,
